dependency_changeset,dependent_changeset,dependency_type,dependency_package,dependent_package,cross_module,evidence,valid_order,resolution
cs-observability-api-and-domain-contracts,cs-evaluations-revenue-cashflow-result,OBSERVABILITY_ONLY,,E3,true,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_NOT_APPLICABLE,REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER
cs-evaluations-revenue-cashflow-result,cs-evaluations-multi-currency,HARD_CONTRACT,E3,E3,false,Multi-currency conversion decorates canonical finance results and preserves originals.,true,RETAINED_OR_RETYPED_FROM_PHASE2_5
cs-observability-api-and-domain-contracts,cs-evaluations-multi-currency,OBSERVABILITY_ONLY,,E3,true,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_NOT_APPLICABLE,REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER
cs-evaluations-multi-currency,cs-evaluations-finance-test-suite,TEST_ONLY,E3,E3,false,Finance acceptance fixtures cover every E3 finance capability in the same package.,true,RETAINED_OR_RETYPED_FROM_PHASE2_5
cs-observability-api-and-domain-contracts,cs-evaluations-finance-test-suite,OBSERVABILITY_ONLY,,E3,true,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_NOT_APPLICABLE,REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER
cs-observability-api-and-domain-contracts,cs-evaluations-summary-detail-separation,OBSERVABILITY_ONLY,,E2,true,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_NOT_APPLICABLE,REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER
cs-evaluations-summary-detail-separation,cs-evaluations-grouping-entity-references,HISTORICAL_STACK_INHERITANCE,E2,E2,false,Problem A: entity-reference contract has no import of summary/detail; its typed references are independently foundational.,REMOVED_NOT_APPLICABLE,REMOVED_OR_REPLACED_BY_NORMALIZED_EDGE
cs-observability-api-and-domain-contracts,cs-evaluations-grouping-entity-references,OBSERVABILITY_ONLY,,E2,true,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_NOT_APPLICABLE,REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER
cs-evaluations-grouping-entity-references,cs-evaluations-analytics-summary,HARD_CONTRACT,E2,E4,false,"Analytics summary service/controller consumes the normalized analytics, detail, reference and filter contracts.",true,RETAINED_OR_RETYPED_FROM_PHASE2_5
cs-observability-api-and-domain-contracts,cs-evaluations-analytics-summary,OBSERVABILITY_ONLY,,E4,true,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_NOT_APPLICABLE,REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER
cs-evaluations-analytics-summary,cs-evaluations-filter-architecture,HISTORICAL_STACK_INHERITANCE,E4,E2,false,Filter contracts are inputs to summary execution; historical commit order had the semantic direction reversed.,REMOVED_NOT_APPLICABLE,REMOVED_OR_REPLACED_BY_NORMALIZED_EDGE
cs-observability-api-and-domain-contracts,cs-evaluations-filter-architecture,OBSERVABILITY_ONLY,,E2,true,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_NOT_APPLICABLE,REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER
cs-evaluations-filter-architecture,cs-evaluations-tenant-isolation,HISTORICAL_STACK_INHERITANCE,E2,E2,false,"Tenant guard/repository enforcement is a foundation concern, not a consumer of the full filter implementation.",REMOVED_NOT_APPLICABLE,REMOVED_OR_REPLACED_BY_NORMALIZED_EDGE
cs-infrastructure-api-and-domain-contracts,cs-evaluations-tenant-isolation,HISTORICAL_STACK_INHERITANCE,,E2,true,Phase-2 source commit 8cec86c… changes only Voice Assistant agent-deployment controller/service; no evaluation import or contract exists.,REMOVED_NOT_APPLICABLE,REMOVED_UNRELATED_VOICE_INFRASTRUCTURE
cs-observability-api-and-domain-contracts,cs-evaluations-tenant-isolation,OBSERVABILITY_ONLY,,E2,true,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_NOT_APPLICABLE,REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER
cs-roles-access-api-and-domain-contracts,cs-evaluations-tenant-isolation,ALREADY_SATISFIED_BY_MAIN,,E2,true,"The historical changeset contains booking handover files; current main already provides OrgScopingGuard, PermissionsGuard, RequirePermission and versioned organization-role defaults.",REMOVED_NOT_APPLICABLE,USE_CURRENT_MAIN_CENTRAL_RBAC
cs-evaluations-tenant-isolation,cs-evaluations-analytics-contracts,HISTORICAL_STACK_INHERITANCE,E2,E2,false,"Problem B: analytics contract sources import entity-reference/filter types, not tenant-isolation implementation.",REMOVED_NOT_APPLICABLE,REMOVED_OR_REPLACED_BY_NORMALIZED_EDGE
cs-observability-api-and-domain-contracts,cs-evaluations-analytics-contracts,OBSERVABILITY_ONLY,,E2,true,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_NOT_APPLICABLE,REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER
cs-evaluations-analytics-contracts,cs-evaluations-cost-model,HARD_CONTRACT,E2,E4,false,Cost model emits canonical analytics money/status envelopes.,true,RETAINED_OR_RETYPED_FROM_PHASE2_5
cs-observability-api-and-domain-contracts,cs-evaluations-cost-model,OBSERVABILITY_ONLY,,E4,true,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_NOT_APPLICABLE,REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER
cs-evaluations-cost-model,cs-evaluations-utilization,HISTORICAL_STACK_INHERITANCE,E4,E4,false,"UtilizationSnapshotService imports filter/utilization contracts and vehicle services, not the cost model.",REMOVED_NOT_APPLICABLE,REMOVED_OR_REPLACED_BY_NORMALIZED_EDGE
cs-observability-api-and-domain-contracts,cs-evaluations-utilization,OBSERVABILITY_ONLY,,E4,true,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_NOT_APPLICABLE,REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER
cs-evaluations-utilization,cs-evaluations-strength-detection,HARD_CONTRACT,E4,E4,false,Detection service imports utilization summary/snapshot.,true,RETAINED_OR_RETYPED_FROM_PHASE2_5
cs-observability-api-and-domain-contracts,cs-evaluations-strength-detection,OBSERVABILITY_ONLY,,E4,true,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_NOT_APPLICABLE,REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER
cs-evaluations-utilization,cs-evaluations-weakness-detection,HARD_CONTRACT,E4,E4,false,Detection service imports utilization summary/snapshot.,true,RETAINED_OR_RETYPED_FROM_PHASE2_5
cs-observability-api-and-domain-contracts,cs-evaluations-weakness-detection,OBSERVABILITY_ONLY,,E4,true,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_NOT_APPLICABLE,REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER
cs-evaluations-strength-detection,cs-evaluations-driver-influence-analysis,HARD_CONTRACT,E4,E4,false,"Driver analysis source imports the referenced summary, model, detection and entity-reference contracts.",true,RETAINED_OR_RETYPED_FROM_PHASE2_5
cs-evaluations-weakness-detection,cs-evaluations-driver-influence-analysis,HARD_CONTRACT,E4,E4,false,"Driver analysis source imports the referenced summary, model, detection and entity-reference contracts.",true,RETAINED_OR_RETYPED_FROM_PHASE2_5
cs-observability-api-and-domain-contracts,cs-evaluations-driver-influence-analysis,OBSERVABILITY_ONLY,,E4,true,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_NOT_APPLICABLE,REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER
cs-evaluations-driver-influence-analysis,cs-evaluations-data-quality,HISTORICAL_STACK_INHERITANCE,E4,E5,false,"DataQualityService imports cost and utilization summaries, not driver analysis.",REMOVED_NOT_APPLICABLE,REMOVED_OR_REPLACED_BY_NORMALIZED_EDGE
cs-observability-api-and-domain-contracts,cs-evaluations-data-quality,OBSERVABILITY_ONLY,,E5,true,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_NOT_APPLICABLE,REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER
cs-evaluations-data-quality,cs-evaluations-freshness-lineage,HARD_CONTRACT,E5,E5,false,Freshness/lineage extends canonical source-quality status.,true,RETAINED_OR_RETYPED_FROM_PHASE2_5
cs-infrastructure-api-and-domain-contracts,cs-evaluations-freshness-lineage,HISTORICAL_STACK_INHERITANCE,,E5,true,Phase-2 source commit 8cec86c… changes only Voice Assistant agent-deployment controller/service; no evaluation import or contract exists.,REMOVED_NOT_APPLICABLE,REMOVED_UNRELATED_VOICE_INFRASTRUCTURE
cs-observability-api-and-domain-contracts,cs-evaluations-freshness-lineage,OBSERVABILITY_ONLY,,E5,true,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_NOT_APPLICABLE,REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER
cs-observability-api-and-domain-contracts,cs-evaluations-metric-state-ux,OBSERVABILITY_ONLY,,E5,true,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_NOT_APPLICABLE,REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER
cs-evaluations-metric-state-ux,cs-evaluations-data-quality-panel,HARD_CONTRACT,E5,E6,false,"Data-quality panel renders canonical quality, lineage and metric-state contracts.",true,RETAINED_OR_RETYPED_FROM_PHASE2_5
cs-infrastructure-api-and-domain-contracts,cs-evaluations-data-quality-panel,HISTORICAL_STACK_INHERITANCE,,E6,true,Phase-2 source commit 8cec86c… changes only Voice Assistant agent-deployment controller/service; no evaluation import or contract exists.,REMOVED_NOT_APPLICABLE,REMOVED_UNRELATED_VOICE_INFRASTRUCTURE
cs-observability-api-and-domain-contracts,cs-evaluations-data-quality-panel,OBSERVABILITY_ONLY,,E6,true,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_NOT_APPLICABLE,REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER
cs-evaluations-data-quality-panel,cs-evaluations-information-architecture,HISTORICAL_STACK_INHERITANCE,E6,E6,false,"The shell is independently definable; the panel mounts into it, not vice versa.",REMOVED_NOT_APPLICABLE,REMOVED_OR_REPLACED_BY_NORMALIZED_EDGE
cs-evaluations-information-architecture,cs-evaluations-executive-kpi-strip,SOFT_UI,E6,E6,false,"KPI strip requires the canonical shell plus real summary, finance and metric-state values.",true,RETAINED_OR_RETYPED_FROM_PHASE2_5
cs-infrastructure-api-and-domain-contracts,cs-evaluations-executive-kpi-strip,HISTORICAL_STACK_INHERITANCE,,E6,true,Phase-2 source commit 8cec86c… changes only Voice Assistant agent-deployment controller/service; no evaluation import or contract exists.,REMOVED_NOT_APPLICABLE,REMOVED_UNRELATED_VOICE_INFRASTRUCTURE
cs-observability-api-and-domain-contracts,cs-evaluations-executive-kpi-strip,OBSERVABILITY_ONLY,,E6,true,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_NOT_APPLICABLE,REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER
cs-evaluations-executive-kpi-strip,cs-evaluations-strength-weakness-cockpit,HISTORICAL_STACK_INHERITANCE,E6,E6,false,"Cockpit consumes strength/weakness contracts, not KPI-strip implementation.",REMOVED_NOT_APPLICABLE,REMOVED_OR_REPLACED_BY_NORMALIZED_EDGE
cs-observability-api-and-domain-contracts,cs-evaluations-strength-weakness-cockpit,OBSERVABILITY_ONLY,,E6,true,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_NOT_APPLICABLE,REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER
cs-evaluations-strength-weakness-cockpit,cs-evaluations-risk-cost-failure-visuals,HISTORICAL_STACK_INHERITANCE,E6,E6,false,Risk/cost visualizations consume analytics/cost contracts independently of cockpit rendering.,REMOVED_NOT_APPLICABLE,REMOVED_OR_REPLACED_BY_NORMALIZED_EDGE
cs-observability-api-and-domain-contracts,cs-evaluations-risk-cost-failure-visuals,OBSERVABILITY_ONLY,,E6,true,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_NOT_APPLICABLE,REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER
cs-evaluations-risk-cost-failure-visuals,cs-evaluations-mobile-readiness,TEST_ONLY,E6,E6,false,Responsive acceptance covers every recovered core UI surface.,true,RETAINED_OR_RETYPED_FROM_PHASE2_5
cs-evaluations-mobile-readiness,cs-evaluations-accessibility-i18n,TEST_ONLY,E6,E6,false,Accessibility/i18n acceptance runs on the complete responsive shell.,true,RETAINED_OR_RETYPED_FROM_PHASE2_5
cs-observability-api-and-domain-contracts,cs-evaluations-recommendation-domain,OBSERVABILITY_ONLY,,E7,true,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_NOT_APPLICABLE,REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER
cs-evaluations-recommendation-domain,cs-evaluations-action-center,HARD_CONTRACT,E7,E7,false,Action Center is a presentation of the recommendation state machine.,true,RETAINED_OR_RETYPED_FROM_PHASE2_5
cs-infrastructure-api-and-domain-contracts,cs-evaluations-action-center,HISTORICAL_STACK_INHERITANCE,,E7,true,Phase-2 source commit 8cec86c… changes only Voice Assistant agent-deployment controller/service; no evaluation import or contract exists.,REMOVED_NOT_APPLICABLE,REMOVED_UNRELATED_VOICE_INFRASTRUCTURE
cs-observability-api-and-domain-contracts,cs-evaluations-action-center,OBSERVABILITY_ONLY,,E7,true,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_NOT_APPLICABLE,REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER
cs-evaluations-action-center,cs-evaluations-action-integrations,HARD_CONTRACT,E7,E7,false,"Material integrations require UI confirmation, tenant/RBAC checks and durable audit before side effects.",true,RETAINED_OR_RETYPED_FROM_PHASE2_5
cs-observability-api-and-domain-contracts,cs-evaluations-action-integrations,OBSERVABILITY_ONLY,,E7,true,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_NOT_APPLICABLE,REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER
cs-evaluations-action-integrations,cs-evaluations-impact-measurement,HARD_CONTRACT,E7,E7,false,Impact records measure a versioned executed/confirmed recommendation action.,true,RETAINED_OR_RETYPED_FROM_PHASE2_5
cs-observability-api-and-domain-contracts,cs-evaluations-impact-measurement,OBSERVABILITY_ONLY,,E7,true,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_NOT_APPLICABLE,REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER
cs-infrastructure-api-and-domain-contracts,cs-evaluations-predictive-analytics-architecture,HISTORICAL_STACK_INHERITANCE,,E8,true,Phase-2 source commit 8cec86c… changes only Voice Assistant agent-deployment controller/service; no evaluation import or contract exists.,REMOVED_NOT_APPLICABLE,REMOVED_UNRELATED_VOICE_INFRASTRUCTURE
cs-observability-api-and-domain-contracts,cs-evaluations-predictive-analytics-architecture,OBSERVABILITY_ONLY,,E8,true,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_NOT_APPLICABLE,REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER
cs-evaluations-predictive-analytics-architecture,cs-evaluations-feature-store,HARD_SCHEMA,E8,E8,false,Point-in-time feature snapshots implement the predictive architecture contract.,true,RETAINED_OR_RETYPED_FROM_PHASE2_5
cs-observability-api-and-domain-contracts,cs-evaluations-feature-store,OBSERVABILITY_ONLY,,E8,true,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_NOT_APPLICABLE,REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER
cs-evaluations-feature-store,cs-evaluations-demand-revenue-utilization-forecast,HARD_RUNTIME,E8,E8,false,Demand/revenue/utilization forecasts consume point-in-time feature snapshots.,true,RETAINED_OR_RETYPED_FROM_PHASE2_5
cs-infrastructure-api-and-domain-contracts,cs-evaluations-demand-revenue-utilization-forecast,HISTORICAL_STACK_INHERITANCE,,E8,true,Phase-2 source commit 8cec86c… changes only Voice Assistant agent-deployment controller/service; no evaluation import or contract exists.,REMOVED_NOT_APPLICABLE,REMOVED_UNRELATED_VOICE_INFRASTRUCTURE
cs-observability-api-and-domain-contracts,cs-evaluations-demand-revenue-utilization-forecast,OBSERVABILITY_ONLY,,E8,true,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_NOT_APPLICABLE,REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER
cs-evaluations-demand-revenue-utilization-forecast,cs-evaluations-maintenance-failure-forecast,HISTORICAL_STACK_INHERITANCE,E8,E8,false,The forecast engines share the feature store but neither engine is a prerequisite of the other.,REMOVED_NOT_APPLICABLE,REMOVED_OR_REPLACED_BY_NORMALIZED_EDGE
cs-infrastructure-api-and-domain-contracts,cs-evaluations-maintenance-failure-forecast,HISTORICAL_STACK_INHERITANCE,,E8,true,Phase-2 source commit 8cec86c… changes only Voice Assistant agent-deployment controller/service; no evaluation import or contract exists.,REMOVED_NOT_APPLICABLE,REMOVED_UNRELATED_VOICE_INFRASTRUCTURE
cs-observability-api-and-domain-contracts,cs-evaluations-maintenance-failure-forecast,OBSERVABILITY_ONLY,,E8,true,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_NOT_APPLICABLE,REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER
cs-evaluations-maintenance-failure-forecast,cs-evaluations-backtesting-drift,HARD_RUNTIME,E8,E8,false,Release backtests evaluate maintenance/failure candidates.,true,RETAINED_OR_RETYPED_FROM_PHASE2_5
cs-infrastructure-api-and-domain-contracts,cs-evaluations-backtesting-drift,HISTORICAL_STACK_INHERITANCE,,E8,true,Phase-2 source commit 8cec86c… changes only Voice Assistant agent-deployment controller/service; no evaluation import or contract exists.,REMOVED_NOT_APPLICABLE,REMOVED_UNRELATED_VOICE_INFRASTRUCTURE
cs-observability-api-and-domain-contracts,cs-evaluations-backtesting-drift,OBSERVABILITY_ONLY,,E8,true,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_NOT_APPLICABLE,REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER
cs-evaluations-backtesting-drift,cs-evaluations-forecast-ux,HARD_CONTRACT,E8,E9,false,"Forecast UI requires approved model status, empirical coverage and release result.",true,RETAINED_OR_RETYPED_FROM_PHASE2_5
cs-infrastructure-api-and-domain-contracts,cs-evaluations-forecast-ux,HISTORICAL_STACK_INHERITANCE,,E9,true,Phase-2 source commit 8cec86c… changes only Voice Assistant agent-deployment controller/service; no evaluation import or contract exists.,REMOVED_NOT_APPLICABLE,REMOVED_UNRELATED_VOICE_INFRASTRUCTURE
cs-observability-api-and-domain-contracts,cs-evaluations-forecast-ux,OBSERVABILITY_ONLY,,E9,true,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_NOT_APPLICABLE,REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER
cs-infrastructure-api-and-domain-contracts,cs-evaluations-gdpr,HISTORICAL_STACK_INHERITANCE,,E5,true,Phase-2 source commit 8cec86c… changes only Voice Assistant agent-deployment controller/service; no evaluation import or contract exists.,REMOVED_NOT_APPLICABLE,REMOVED_UNRELATED_VOICE_INFRASTRUCTURE
cs-observability-api-and-domain-contracts,cs-evaluations-gdpr,OBSERVABILITY_ONLY,,E5,true,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_NOT_APPLICABLE,REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER
cs-roles-access-api-and-domain-contracts,cs-evaluations-gdpr,ALREADY_SATISFIED_BY_MAIN,,E5,true,"The historical changeset contains booking handover files; current main already provides OrgScopingGuard, PermissionsGuard, RequirePermission and versioned organization-role defaults.",REMOVED_NOT_APPLICABLE,USE_CURRENT_MAIN_CENTRAL_RBAC
cs-evaluations-gdpr,cs-evaluations-roles-permissions,SOFT_INTEGRATION,E5,E5,false,"Permission defaults distinguish aggregate, detail and export privacy scopes.",true,RETAINED_OR_RETYPED_FROM_PHASE2_5
cs-infrastructure-api-and-domain-contracts,cs-evaluations-roles-permissions,HISTORICAL_STACK_INHERITANCE,,E5,true,Phase-2 source commit 8cec86c… changes only Voice Assistant agent-deployment controller/service; no evaluation import or contract exists.,REMOVED_NOT_APPLICABLE,REMOVED_UNRELATED_VOICE_INFRASTRUCTURE
cs-observability-api-and-domain-contracts,cs-evaluations-roles-permissions,OBSERVABILITY_ONLY,,E5,true,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_NOT_APPLICABLE,REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER
cs-roles-access-api-and-domain-contracts,cs-evaluations-roles-permissions,ALREADY_SATISFIED_BY_MAIN,,E5,true,"The historical changeset contains booking handover files; current main already provides OrgScopingGuard, PermissionsGuard, RequirePermission and versioned organization-role defaults.",REMOVED_NOT_APPLICABLE,USE_CURRENT_MAIN_CENTRAL_RBAC
cs-evaluations-roles-permissions,cs-evaluations-audit-logging,HARD_SECURITY,E5,E5,false,Sensitive audit events record the central policy decision.,true,RETAINED_OR_RETYPED_FROM_PHASE2_5
cs-infrastructure-api-and-domain-contracts,cs-evaluations-audit-logging,HISTORICAL_STACK_INHERITANCE,,E5,true,Phase-2 source commit 8cec86c… changes only Voice Assistant agent-deployment controller/service; no evaluation import or contract exists.,REMOVED_NOT_APPLICABLE,REMOVED_UNRELATED_VOICE_INFRASTRUCTURE
cs-observability-api-and-domain-contracts,cs-evaluations-audit-logging,OBSERVABILITY_ONLY,,E5,true,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_NOT_APPLICABLE,REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER
cs-roles-access-api-and-domain-contracts,cs-evaluations-audit-logging,ALREADY_SATISFIED_BY_MAIN,,E5,true,"The historical changeset contains booking handover files; current main already provides OrgScopingGuard, PermissionsGuard, RequirePermission and versioned organization-role defaults.",REMOVED_NOT_APPLICABLE,USE_CURRENT_MAIN_CENTRAL_RBAC
cs-evaluations-timezone-period-model,cs-evaluations-filter-architecture,HARD_CONTRACT,E1,E2,false,Filter periods require explicit UTC bounds and reporting timezone.,true,ACTIVE_NORMALIZED_EDGE
