pr_number,title,draft,base_branch,head_branch,base_sha,head_sha,merge_base_main,commit_count,changed_files_count,module,target_is_main,head_branch_exists,all_commits_in_main,patch_equivalent_in_main,diff_against_main,stack_parent_pr,stack_tip_pr,merge_conflict_status,ci_status,preliminary_classification,confidence,evidence,recommended_next_review
66,"V4.9.229 — DIMO webhook logging, valueNumber parser, OBD unplug-only",true,main,cursor/dimo-webhook-logging-unplug-only-be2f,4453c93196650e5f4a0985b84d55df4555e0d8d6,79e0eeb87c041794983be9fba64dd44bec4d96c2,cae92927a41a7a15fe20a782be712d8c1da30090,1,14,cross-cutting,true,true,false,false,NON_EMPTY,,,CONFLICTING,NO_CHECKS_REPORTED,CONFLICTING,HIGH,"commit reachability: 0/1 PR commits reachable from origin/main | patch equivalence: GIT_CHERRY_HAS_UNMATCHED_PATCHES; git cherry equivalent=0, unmatched=1, unrepresented=0 | three-dot diff origin/main...head: NON_EMPTY (14 paths) | GitHub target diff: 14 files, +671/-31 | GitHub mergeability: CONFLICTING/DIRTY | file overlap: 9 paths overlap 557 open PRs | last update is 33 whole days before snapshot",Phase 2: inspect conflict paths and whether a newer branch supersedes this diff.
83,"V4.9.255 — ClickHouse runtime hardening (docs, scripts, env)",true,main,cursor/clickhouse-runtime-hardening-be2f,7d233f868283bd6f068176f73cd4f8e86755872e,fcadf42c1aa1c059c6e19d8749075d3593196473,7d233f868283bd6f068176f73cd4f8e86755872e,1,10,infrastructure,true,true,false,false,NON_EMPTY,,,CONFLICTING,NO_CHECKS_REPORTED,CONFLICTING,HIGH,"commit reachability: 0/1 PR commits reachable from origin/main | patch equivalence: GIT_CHERRY_HAS_UNMATCHED_PATCHES; git cherry equivalent=0, unmatched=1, unrepresented=0 | three-dot diff origin/main...head: NON_EMPTY (10 paths) | GitHub target diff: 10 files, +370/-39 | GitHub mergeability: CONFLICTING/DIRTY | file overlap: 6 paths overlap 547 open PRs | last update is 33 whole days before snapshot",Phase 2: inspect conflict paths and whether a newer branch supersedes this diff.
84,V4.9.256 — Secure Prometheus /metrics endpoint,true,main,cursor/prometheus-metrics-security-be2f,7d233f868283bd6f068176f73cd4f8e86755872e,12a4054dddda212ca1616007e3c57a7c1eea4c6e,7d233f868283bd6f068176f73cd4f8e86755872e,1,17,cross-cutting,true,true,false,false,NON_EMPTY,,,CONFLICTING,NO_CHECKS_REPORTED,CONFLICTING,HIGH,"commit reachability: 0/1 PR commits reachable from origin/main | patch equivalence: GIT_CHERRY_HAS_UNMATCHED_PATCHES; git cherry equivalent=0, unmatched=1, unrepresented=0 | three-dot diff origin/main...head: NON_EMPTY (17 paths) | GitHub target diff: 17 files, +668/-8 | GitHub mergeability: CONFLICTING/DIRTY | file overlap: 8 paths overlap 545 open PRs | last update is 33 whole days before snapshot",Phase 2: inspect conflict paths and whether a newer branch supersedes this diff.
85,ClickHouse Diagnostics + Data Analyse internal CH debug tab (V4.9.257),true,main,cursor/clickhouse-diagnostics-be2f,7d233f868283bd6f068176f73cd4f8e86755872e,c6276b5f5facef5c3b3f88f8880df1778ee4fb12,7d233f868283bd6f068176f73cd4f8e86755872e,1,16,integrations,true,true,false,false,NON_EMPTY,,,CONFLICTING,NO_CHECKS_REPORTED,CONFLICTING,HIGH,"commit reachability: 0/1 PR commits reachable from origin/main | patch equivalence: GIT_CHERRY_HAS_UNMATCHED_PATCHES; git cherry equivalent=0, unmatched=1, unrepresented=0 | three-dot diff origin/main...head: NON_EMPTY (16 paths) | GitHub target diff: 16 files, +945/-8 | GitHub mergeability: CONFLICTING/DIRTY | file overlap: 15 paths overlap 562 open PRs | last update is 33 whole days before snapshot",Phase 2: inspect conflict paths and whether a newer branch supersedes this diff.
86,"HF Mirror: trip context, flag guard, skip metrics (V4.9.258)",true,main,cursor/hf-mirror-hardening-be2f,7d233f868283bd6f068176f73cd4f8e86755872e,ea706ecc277f410a80f597701fa5c7c420ce8a05,7d233f868283bd6f068176f73cd4f8e86755872e,1,10,trips,true,true,false,false,NON_EMPTY,,,CONFLICTING,NO_CHECKS_REPORTED,CONFLICTING,HIGH,"commit reachability: 0/1 PR commits reachable from origin/main | patch equivalence: GIT_CHERRY_HAS_UNMATCHED_PATCHES; git cherry equivalent=0, unmatched=1, unrepresented=0 | three-dot diff origin/main...head: NON_EMPTY (10 paths) | GitHub target diff: 10 files, +290/-32 | GitHub mergeability: CONFLICTING/DIRTY | file overlap: 9 paths overlap 543 open PRs | last update is 33 whole days before snapshot",Phase 2: inspect conflict paths and whether a newer branch supersedes this diff.
87,ClickHouse table producer registry + diagnostics (V4.9.259),true,main,cursor/clickhouse-table-registry-be2f,7d233f868283bd6f068176f73cd4f8e86755872e,585b26ee986e26b3db7f1109ef5e6d639dd8581c,7d233f868283bd6f068176f73cd4f8e86755872e,1,19,integrations,true,true,false,false,NON_EMPTY,,,CONFLICTING,NO_CHECKS_REPORTED,CONFLICTING,HIGH,"commit reachability: 0/1 PR commits reachable from origin/main | patch equivalence: GIT_CHERRY_HAS_UNMATCHED_PATCHES; git cherry equivalent=0, unmatched=1, unrepresented=0 | three-dot diff origin/main...head: NON_EMPTY (19 paths) | GitHub target diff: 19 files, +989/-10 | GitHub mergeability: CONFLICTING/DIRTY | file overlap: 17 paths overlap 562 open PRs | last update is 33 whole days before snapshot",Phase 2: inspect conflict paths and whether a newer branch supersedes this diff.
88,feat(hf-mirror): extend post-trip evidence signals with volume guards (V4.9.260),true,main,cursor/hf-mirror-signals-be2f,7d233f868283bd6f068176f73cd4f8e86755872e,e5ee5c6b34b23c17e1eacc28a458bb1b9818eecd,7d233f868283bd6f068176f73cd4f8e86755872e,2,11,cross-cutting,true,true,false,false,NON_EMPTY,,,CONFLICTING,NO_CHECKS_REPORTED,CONFLICTING,HIGH,"commit reachability: 0/2 PR commits reachable from origin/main | patch equivalence: GIT_CHERRY_HAS_UNMATCHED_PATCHES; git cherry equivalent=0, unmatched=2, unrepresented=0 | three-dot diff origin/main...head: NON_EMPTY (11 paths) | GitHub target diff: 11 files, +625/-108 | GitHub mergeability: CONFLICTING/DIRTY | file overlap: 6 paths overlap 544 open PRs | last update is 33 whole days before snapshot",Phase 2: inspect conflict paths and whether a newer branch supersedes this diff.
89,feat(hf-windows): populate telemetry_hf_windows + read-only signal quality (V4.9.261),true,main,cursor/hf-windows-signal-quality-be2f,7d233f868283bd6f068176f73cd4f8e86755872e,76b59a427b41b03cf47bb62de1e92d0ba01f67a8,7d233f868283bd6f068176f73cd4f8e86755872e,1,19,trips,true,true,false,false,NON_EMPTY,,91,CONFLICTING,NO_CHECKS_REPORTED,STACK_ANCESTOR,HIGH,"commit reachability: 0/1 PR commits reachable from origin/main | patch equivalence: GIT_CHERRY_HAS_UNMATCHED_PATCHES; git cherry equivalent=0, unmatched=1, unrepresented=0 | three-dot diff origin/main...head: NON_EMPTY (19 paths) | GitHub target diff: 19 files, +1578/-17 | GitHub mergeability: CONFLICTING/DIRTY | branch ancestry: 0 open ancestors, 2 open descendants; base=main | file overlap: 19 paths overlap 562 open PRs | last update is 33 whole days before snapshot","Phase 2: review the cumulative stack tip first, then evaluate ancestors without treating ancestry as duplication."
90,feat(trips): read-only ClickHouse evidence on trip detail (V4.9.262),true,main,cursor/trip-detail-ch-evidence-be2f,7d233f868283bd6f068176f73cd4f8e86755872e,6c02da4e57fd3adeb89ee36f0d2ae01a6521758e,7d233f868283bd6f068176f73cd4f8e86755872e,2,31,trips,true,true,false,false,NON_EMPTY,89,91,CONFLICTING,NO_CHECKS_REPORTED,STACKED,HIGH,"commit reachability: 0/2 PR commits reachable from origin/main | patch equivalence: GIT_CHERRY_HAS_UNMATCHED_PATCHES; git cherry equivalent=0, unmatched=2, unrepresented=0 | three-dot diff origin/main...head: NON_EMPTY (31 paths) | GitHub target diff: 31 files, +2406/-18 | GitHub mergeability: CONFLICTING/DIRTY | branch ancestry: 1 open ancestors, 1 open descendants; base=main | file overlap: 31 paths overlap 562 open PRs | last update is 33 whole days before snapshot","Phase 2: review the cumulative stack tip first, then evaluate ancestors without treating ancestry as duplication."
91,V4.9.263 — ClickHouse Waypoints + Activity Windows Producers (post-trip evidence),true,main,cursor/waypoints-activity-producers-be2f,7d233f868283bd6f068176f73cd4f8e86755872e,1b3d814ee0ee1b7ec06ef88927df21efaba2639a,7d233f868283bd6f068176f73cd4f8e86755872e,3,53,trips,true,true,false,false,NON_EMPTY,90,91,CONFLICTING,NO_CHECKS_REPORTED,CUMULATIVE_STACK_TIP,HIGH,"commit reachability: 0/3 PR commits reachable from origin/main | patch equivalence: GIT_CHERRY_HAS_UNMATCHED_PATCHES; git cherry equivalent=0, unmatched=3, unrepresented=0 | three-dot diff origin/main...head: NON_EMPTY (53 paths) | GitHub target diff: 53 files, +3927/-21 | GitHub mergeability: CONFLICTING/DIRTY | branch ancestry: 2 open ancestors, 0 open descendants; base=main | file overlap: 38 paths overlap 568 open PRs | last update is 33 whole days before snapshot","Phase 2: review the cumulative stack tip first, then evaluate ancestors without treating ancestry as duplication."
109,V4.9.290–295: Outbound email foundation + send UX + Resend production provider,true,main,cursor/outbound-email-foundation-be2f,3d7af8ec94c4c3432ab6fa1cb0c17b0a9459bb3f,6ea2e51ff8a6e4d9599c491518893bc7bf5059c3,3d7af8ec94c4c3432ab6fa1cb0c17b0a9459bb3f,7,82,cross-cutting,true,true,false,false,NON_EMPTY,,,CONFLICTING,NO_CHECKS_REPORTED,CONFLICTING,HIGH,"commit reachability: 0/7 PR commits reachable from origin/main | patch equivalence: GIT_CHERRY_HAS_UNMATCHED_PATCHES; git cherry equivalent=0, unmatched=7, unrepresented=0 | three-dot diff origin/main...head: NON_EMPTY (82 paths) | GitHub target diff: 82 files, +6973/-57 | GitHub mergeability: CONFLICTING/DIRTY | file overlap: 32 paths overlap 579 open PRs | last update is 32 whole days before snapshot",Phase 2: inspect conflict paths and whether a newer branch supersedes this diff.
118,docs: Resend production go-live (V4.9.309),true,main,cursor/resend-production-live-be2f,d673b69df54514e0a92325330cdfa3279dfd2886,ecbfc4fa8d22183273d34c5f4a78ac5453b6c4a0,d673b69df54514e0a92325330cdfa3279dfd2886,1,4,notifications,true,true,false,false,NON_EMPTY,,,CONFLICTING,NO_CHECKS_REPORTED,CONFLICTING,HIGH,"commit reachability: 0/1 PR commits reachable from origin/main | patch equivalence: GIT_CHERRY_HAS_UNMATCHED_PATCHES; git cherry equivalent=0, unmatched=1, unrepresented=0 | three-dot diff origin/main...head: NON_EMPTY (4 paths) | GitHub target diff: 4 files, +62/-3 | GitHub mergeability: CONFLICTING/DIRTY | file overlap: 4 paths overlap 543 open PRs | last update is 31 whole days before snapshot",Phase 2: inspect conflict paths and whether a newer branch supersedes this diff.
121,feat(ops): Plattform-Mail synqdrive.eu (noreply + info Reply-To),true,main,cursor/synqdrive-platform-email-8e3e,d673b69df54514e0a92325330cdfa3279dfd2886,54621f4a460ecf19c4b63e7d95cf41c5504129a7,d673b69df54514e0a92325330cdfa3279dfd2886,2,8,notifications,true,true,false,false,NON_EMPTY,,,CONFLICTING,NO_CHECKS_REPORTED,CONFLICTING,HIGH,"commit reachability: 0/2 PR commits reachable from origin/main | patch equivalence: GIT_CHERRY_HAS_UNMATCHED_PATCHES; git cherry equivalent=0, unmatched=2, unrepresented=0 | three-dot diff origin/main...head: NON_EMPTY (8 paths) | GitHub target diff: 8 files, +340/-22 | GitHub mergeability: CONFLICTING/DIRTY | file overlap: 5 paths overlap 543 open PRs | last update is 31 whole days before snapshot",Phase 2: inspect conflict paths and whether a newer branch supersedes this diff.
173,V4.9.401 — System theme preference (merged),true,main,cursor/system-theme-preference-be2f,44c93d2891a6af715cfad263929d766835fe900a,4325f93873163a86fdb5cfbbdf50c5965e186f93,389f4fbadb64c7d02ddd0e9d553f58349bdc2aad,1,12,operator-app,true,true,false,false,NON_EMPTY,,,CONFLICTING,NO_CHECKS_REPORTED,CONFLICTING,HIGH,"commit reachability: 0/1 PR commits reachable from origin/main | patch equivalence: GIT_CHERRY_HAS_UNMATCHED_PATCHES; git cherry equivalent=0, unmatched=1, unrepresented=0 | three-dot diff origin/main...head: NON_EMPTY (12 paths) | GitHub target diff: 12 files, +272/-42 | GitHub mergeability: CONFLICTING/DIRTY | file overlap: 5 paths overlap 553 open PRs",Phase 2: inspect conflict paths and whether a newer branch supersedes this diff.
187,V4.9.426 — Finanz-KPIs: Umsatz Option A + Reservierter Umsatz,true,main,cursor/umsatz-kpi-option-a-be2f,0a01c2a784c9f8597cce686840d6b341208a8b79,8c0207b1160646271dc4ad0888f949870266700c,0a01c2a784c9f8597cce686840d6b341208a8b79,1,17,cross-cutting,true,true,false,true,NON_EMPTY,,,CONFLICTING,NO_CHECKS_REPORTED,ALREADY_IN_MAIN,HIGH,"commit reachability: 0/1 PR commits reachable from origin/main | patch equivalence: GIT_CHERRY_ALL_NON_REACHABLE_COMMITS_PATCH_EQUIVALENT; git cherry equivalent=1, unmatched=0, unrepresented=0 | three-dot diff origin/main...head: NON_EMPTY (17 paths) | GitHub target diff: 17 files, +272/-24 | GitHub mergeability: CONFLICTING/DIRTY | file overlap: 15 paths overlap 553 open PRs",Phase 2: verify representative patch/tree evidence before any close decision.
188,V4.9.427 — Buchungsrechnungen finalisieren + Duplikate bereinigen,true,main,cursor/booking-invoice-lifecycle-be2f,62b2806054349b68b5cb1f7514f932b25fd8023f,4a2273aeb2e6dfd6abccb3ecf6f038f9bad3d961,62b2806054349b68b5cb1f7514f932b25fd8023f,1,10,cross-cutting,true,true,false,true,NON_EMPTY,,,CONFLICTING,NO_CHECKS_REPORTED,ALREADY_IN_MAIN,HIGH,"commit reachability: 0/1 PR commits reachable from origin/main | patch equivalence: GIT_CHERRY_ALL_NON_REACHABLE_COMMITS_PATCH_EQUIVALENT; git cherry equivalent=1, unmatched=0, unrepresented=0 | three-dot diff origin/main...head: NON_EMPTY (10 paths) | GitHub target diff: 10 files, +402/-3 | GitHub mergeability: CONFLICTING/DIRTY | file overlap: 9 paths overlap 565 open PRs",Phase 2: verify representative patch/tree evidence before any close decision.
189,V4.9.428 — Ungültige Rechnungen entfernen + API-Filter,true,main,cursor/cleanup-invalid-invoices-be2f,ab52b08063f485f97bfb3ab478acc730f22d7907,f7d14ff030d6b71b8224f8143cfcdba3a2396b06,b2c4c501c559ef2f9dbb728556a3872eb125fa68,1,3,voice-ai,true,true,false,true,NON_EMPTY,,,CONFLICTING,NO_CHECKS_REPORTED,ALREADY_IN_MAIN,HIGH,"commit reachability: 0/1 PR commits reachable from origin/main | patch equivalence: GIT_CHERRY_ALL_NON_REACHABLE_COMMITS_PATCH_EQUIVALENT; git cherry equivalent=1, unmatched=0, unrepresented=0 | three-dot diff origin/main...head: NON_EMPTY (3 paths) | GitHub target diff: 3 files, +190/-1 | GitHub mergeability: CONFLICTING/DIRTY | file overlap: 2 paths overlap 542 open PRs",Phase 2: verify representative patch/tree evidence before any close decision.
194,docs: Stripe Connect payments baseline (step 1 — no functional changes),false,main,cursor/stripe-connect-baseline-c2c2,d35fa33ba7ef1447525fc2578b8fa8e69420d697,40d94d0574c8a808ef464981a8cc8583215c06c5,d35fa33ba7ef1447525fc2578b8fa8e69420d697,1,3,stripe-payments,true,true,false,false,NON_EMPTY,,,CONFLICTING,NO_CHECKS_REPORTED,CONFLICTING,HIGH,"commit reachability: 0/1 PR commits reachable from origin/main | patch equivalence: GIT_CHERRY_HAS_UNMATCHED_PATCHES; git cherry equivalent=0, unmatched=1, unrepresented=0 | three-dot diff origin/main...head: NON_EMPTY (3 paths) | GitHub target diff: 3 files, +238/-4 | GitHub mergeability: CONFLICTING/DIRTY | file overlap: 2 paths overlap 543 open PRs",Phase 2: inspect conflict paths and whether a newer branch supersedes this diff.
217,docs(audit): Ist-Analyse Rechnungsfunktion (OrgInvoice),true,main,cursor/invoice-ist-analyse-be2f,4f08b84c2850ea56ceb37a183b948b1ed067288e,8e52f90f0f8a28b00c56b1cab713713b4ffadad3,6043291206433caca05a79c9394668c55005e2fd,3,12,cross-cutting,true,true,false,false,NON_EMPTY,,229,CONFLICTING,NO_CHECKS_REPORTED,STACK_ANCESTOR,HIGH,"commit reachability: 0/3 PR commits reachable from origin/main | patch equivalence: GIT_CHERRY_HAS_UNMATCHED_PATCHES; git cherry equivalent=0, unmatched=3, unrepresented=0 | three-dot diff origin/main...head: NON_EMPTY (12 paths) | GitHub target diff: 12 files, +2137/-1 | GitHub mergeability: CONFLICTING/DIRTY | branch ancestry: 0 open ancestors, 12 open descendants; base=main | file overlap: 12 paths overlap 12 open PRs","Phase 2: review the cumulative stack tip first, then evaluate ancestors without treating ancestry as duplication."
218,feat(invoices): additive schema for document versions and generation state,true,main,cursor/invoice-document-schema-be2f,4f08b84c2850ea56ceb37a183b948b1ed067288e,d8b6533fac19f738f5f6388708c7dc9c6fa5d049,6043291206433caca05a79c9394668c55005e2fd,4,16,cross-cutting,true,true,false,false,NON_EMPTY,217,229,CONFLICTING,NO_CHECKS_REPORTED,STACKED,HIGH,"commit reachability: 0/4 PR commits reachable from origin/main | patch equivalence: GIT_CHERRY_HAS_UNMATCHED_PATCHES; git cherry equivalent=0, unmatched=4, unrepresented=0 | three-dot diff origin/main...head: NON_EMPTY (16 paths) | GitHub target diff: 16 files, +2349/-51 | GitHub mergeability: CONFLICTING/DIRTY | branch ancestry: 1 open ancestors, 11 open descendants; base=main | file overlap: 16 paths overlap 245 open PRs","Phase 2: review the cumulative stack tip first, then evaluate ancestors without treating ancestry as duplication."
219,feat(invoices): read-only invoice-document integrity audit CLI,true,main,cursor/invoice-document-audit-be2f,4f08b84c2850ea56ceb37a183b948b1ed067288e,79b7fbe6cbaf155462df521aea54a0ba0eb62389,6043291206433caca05a79c9394668c55005e2fd,7,31,cross-cutting,true,true,false,false,NON_EMPTY,218,229,CONFLICTING,NO_CHECKS_REPORTED,STACKED,HIGH,"commit reachability: 0/7 PR commits reachable from origin/main | patch equivalence: GIT_CHERRY_HAS_UNMATCHED_PATCHES; git cherry equivalent=0, unmatched=7, unrepresented=0 | three-dot diff origin/main...head: NON_EMPTY (31 paths) | GitHub target diff: 31 files, +5480/-51 | GitHub mergeability: CONFLICTING/DIRTY | branch ancestry: 2 open ancestors, 10 open descendants; base=main | file overlap: 31 paths overlap 253 open PRs","Phase 2: review the cumulative stack tip first, then evaluate ancestors without treating ancestry as duplication."
