pr,classification,reason,evidence,replacement_commit_or_pr,confidence
258,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=4430 | current head/base unchanged from Phase 1: b702cca71f7e6e201a55f99e221ce5f79fff605e / b95adeef7ffe5dcc92b30a51820dcd695af28460,"[""b702cca71f7e6e201a55f99e221ce5f79fff605e""]",HIGH
271,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=4237 | current head/base unchanged from Phase 1: 9fc0e0062ad82629c5b627d0a73b16d9484701c8 / 73bb39df0c431c520d90490aec470519871fe1f8,"[""9fc0e0062ad82629c5b627d0a73b16d9484701c8""]",HIGH
272,SAFE_TO_CLOSE_ALREADY_IN_MAIN,2/2 API-listed commits reachable from current origin/main,2/2 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=4235 | current head/base unchanged from Phase 1: 0d2431c35ffa8efb9455b6a5c633f0ab201717a5 / 9fc0e0062ad82629c5b627d0a73b16d9484701c8,"[""0d2431c35ffa8efb9455b6a5c633f0ab201717a5"",""3704818fef4a04a392c03857439e1f604d8f2fc8""]",HIGH
273,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=4231 | current head/base unchanged from Phase 1: 50d7fd51c9c40b3cddbd185300ff667625a4d4b1 / 0d2431c35ffa8efb9455b6a5c633f0ab201717a5,"[""50d7fd51c9c40b3cddbd185300ff667625a4d4b1""]",HIGH
279,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=4215 | current head/base unchanged from Phase 1: b9710455947186ea34f99e6c2a76a67a120e44b0 / 8264e4ba802350f315139d87e36f2c23240d30e9,"[""b9710455947186ea34f99e6c2a76a67a120e44b0""]",HIGH
280,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=4210 | current head/base unchanged from Phase 1: ff24dc29e9a0fae5ef49fef119631e5c4b793e44 / b9710455947186ea34f99e6c2a76a67a120e44b0,"[""ff24dc29e9a0fae5ef49fef119631e5c4b793e44""]",HIGH
281,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=4205 | current head/base unchanged from Phase 1: dc82d3545044625e3a8fbfc16b499689265cf21c / ff24dc29e9a0fae5ef49fef119631e5c4b793e44,"[""dc82d3545044625e3a8fbfc16b499689265cf21c""]",HIGH
282,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=4197 | current head/base unchanged from Phase 1: 923be59e156e378f1f5a07b97193c21a21711d26 / dc82d3545044625e3a8fbfc16b499689265cf21c,"[""923be59e156e378f1f5a07b97193c21a21711d26""]",HIGH
283,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=4188 | current head/base unchanged from Phase 1: c6d6e781056ae77084b713b22dc5c6a41783b3eb / 923be59e156e378f1f5a07b97193c21a21711d26,"[""c6d6e781056ae77084b713b22dc5c6a41783b3eb""]",HIGH
284,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=4181 | current head/base unchanged from Phase 1: aa915bf96305fe15a62925bd595c39a7cedd5c6f / c6d6e781056ae77084b713b22dc5c6a41783b3eb,"[""aa915bf96305fe15a62925bd595c39a7cedd5c6f""]",HIGH
285,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=4171 | current head/base unchanged from Phase 1: c37df3f0d5648362b13765a9e980be1e2709af26 / aa915bf96305fe15a62925bd595c39a7cedd5c6f,"[""c37df3f0d5648362b13765a9e980be1e2709af26""]",HIGH
286,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=4167 | current head/base unchanged from Phase 1: fd0fee080dc25972ef6622cad4334ee9647b24fa / c37df3f0d5648362b13765a9e980be1e2709af26,"[""fd0fee080dc25972ef6622cad4334ee9647b24fa""]",HIGH
287,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=4164 | current head/base unchanged from Phase 1: 6cbd9a9c0e019650a19b343081b55cf483f2788f / fd0fee080dc25972ef6622cad4334ee9647b24fa,"[""6cbd9a9c0e019650a19b343081b55cf483f2788f""]",HIGH
288,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=4164 | current head/base unchanged from Phase 1: a60b21f0abca5d2687e9b6f14aec08463a8bd237 / 6cbd9a9c0e019650a19b343081b55cf483f2788f,"[""a60b21f0abca5d2687e9b6f14aec08463a8bd237""]",HIGH
291,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=4146 | current head/base unchanged from Phase 1: e3334e7f65a5092e89b8e5a80226fc6556833aa5 / 9e02ae52d3ae2d300cb67341e1c1fb1b3ade7316,"[""e3334e7f65a5092e89b8e5a80226fc6556833aa5""]",HIGH
292,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=4143 | current head/base unchanged from Phase 1: 7e656b638606bce9f22730f2d95bdbc11697b128 / e3334e7f65a5092e89b8e5a80226fc6556833aa5,"[""7e656b638606bce9f22730f2d95bdbc11697b128""]",HIGH
293,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=4140 | current head/base unchanged from Phase 1: c024f4cee394e9b912d20557da4e33bce67aedcf / 7e656b638606bce9f22730f2d95bdbc11697b128,"[""c024f4cee394e9b912d20557da4e33bce67aedcf""]",HIGH
294,SAFE_TO_CLOSE_ALREADY_IN_MAIN,2/2 API-listed commits reachable from current origin/main,2/2 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=4131 | current head/base unchanged from Phase 1: b704eed7bc8eaf5884dfd5451215d8f363da2c14 / c024f4cee394e9b912d20557da4e33bce67aedcf,"[""79f63f45045a3d02d452a2f8f7bc8c4e1fb497d7"",""b704eed7bc8eaf5884dfd5451215d8f363da2c14""]",HIGH
295,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=4125 | current head/base unchanged from Phase 1: 94c53f528065a0d7aad28b0dd94206d41c514ef2 / b704eed7bc8eaf5884dfd5451215d8f363da2c14,"[""94c53f528065a0d7aad28b0dd94206d41c514ef2""]",HIGH
296,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=4123 | current head/base unchanged from Phase 1: 8326aa39502823857cee955f9ea563b905db463d / 94c53f528065a0d7aad28b0dd94206d41c514ef2,"[""8326aa39502823857cee955f9ea563b905db463d""]",HIGH
297,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=4119 | current head/base unchanged from Phase 1: a71951140ce0deb4b4f6d93a97b4357b7a9275cd / 8326aa39502823857cee955f9ea563b905db463d,"[""a71951140ce0deb4b4f6d93a97b4357b7a9275cd""]",HIGH
298,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=4113 | current head/base unchanged from Phase 1: a074783a2405291e394298c13085f6209d607bdc / a71951140ce0deb4b4f6d93a97b4357b7a9275cd,"[""a074783a2405291e394298c13085f6209d607bdc""]",HIGH
299,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=4105 | current head/base unchanged from Phase 1: e2e2cb72acdaa33a12bb7003d5d447890abb9457 / a074783a2405291e394298c13085f6209d607bdc,"[""e2e2cb72acdaa33a12bb7003d5d447890abb9457""]",HIGH
300,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=4100 | current head/base unchanged from Phase 1: be37613414e3271fdf9cdced1d79b852b2cab2db / e2e2cb72acdaa33a12bb7003d5d447890abb9457,"[""be37613414e3271fdf9cdced1d79b852b2cab2db""]",HIGH
301,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=4094 | current head/base unchanged from Phase 1: 899157e4fe0f25823d922e787bceda20d2a66c00 / be37613414e3271fdf9cdced1d79b852b2cab2db,"[""899157e4fe0f25823d922e787bceda20d2a66c00""]",HIGH
302,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=4084 | current head/base unchanged from Phase 1: 79e381069995543136b10914c1b5f5c582ee15e3 / 899157e4fe0f25823d922e787bceda20d2a66c00,"[""79e381069995543136b10914c1b5f5c582ee15e3""]",HIGH
303,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=4081 | current head/base unchanged from Phase 1: ac5453bf84ba4ce4c211993595c5d291cbc2d9f6 / 79e381069995543136b10914c1b5f5c582ee15e3,"[""ac5453bf84ba4ce4c211993595c5d291cbc2d9f6""]",HIGH
304,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=4073 | current head/base unchanged from Phase 1: 206818d0fd10d63590702295462ed449550824be / ac5453bf84ba4ce4c211993595c5d291cbc2d9f6,"[""206818d0fd10d63590702295462ed449550824be""]",HIGH
305,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=4064 | current head/base unchanged from Phase 1: 14d66086c2b7eafa012badb1987af7cd1874567b / 206818d0fd10d63590702295462ed449550824be,"[""14d66086c2b7eafa012badb1987af7cd1874567b""]",HIGH
306,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=4056 | current head/base unchanged from Phase 1: 3820edb15cd09864a7e53cc7473d81f55019cb48 / 14d66086c2b7eafa012badb1987af7cd1874567b,"[""3820edb15cd09864a7e53cc7473d81f55019cb48""]",HIGH
307,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=4047 | current head/base unchanged from Phase 1: c2cb860169526b330d2dfe82dd17ce1d594ecd54 / 3820edb15cd09864a7e53cc7473d81f55019cb48,"[""c2cb860169526b330d2dfe82dd17ce1d594ecd54""]",HIGH
308,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=4039 | current head/base unchanged from Phase 1: cc29183e9faa191f38dfe74d73d8cb45c733047f / c2cb860169526b330d2dfe82dd17ce1d594ecd54,"[""cc29183e9faa191f38dfe74d73d8cb45c733047f""]",HIGH
309,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=4029 | current head/base unchanged from Phase 1: d182d961a24a286a0d6a5d2e3ee38463b60a5604 / cc29183e9faa191f38dfe74d73d8cb45c733047f,"[""d182d961a24a286a0d6a5d2e3ee38463b60a5604""]",HIGH
310,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=4026 | current head/base unchanged from Phase 1: b8ac1203e252e660a4942114f9990d83f15ee415 / d182d961a24a286a0d6a5d2e3ee38463b60a5604,"[""b8ac1203e252e660a4942114f9990d83f15ee415""]",HIGH
311,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=4018 | current head/base unchanged from Phase 1: e6034baac7450f43956032b4900ea01ce7a7316e / b8ac1203e252e660a4942114f9990d83f15ee415,"[""e6034baac7450f43956032b4900ea01ce7a7316e""]",HIGH
312,SAFE_TO_CLOSE_ALREADY_IN_MAIN,19/19 API-listed commits reachable from current origin/main,19/19 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=3861 | current head/base unchanged from Phase 1: dc0ef2efa140a4db44c73fc80dce8397c22537a9 / e6034baac7450f43956032b4900ea01ce7a7316e,"[""045a364ef80b501275988e6b3ae8aa492daf8379"",""14f26fb01eadb3b25c9c0b3db33c35838544769a"",""150c12ef5901e24c768f6ee5e39608642b6df957"",""21ea02678d1046946a0fbb63228de19db9b7f3a2"",""28c99b255459ff153a5b907257c41bea47c30c8a"",""386d22f4c5a4b66a035c20c101eb6a7469689ffc"",""3a14fefb4858a455fcc8d4b17e3a0428bf6cd484"",""6d27930b39b2a430079b3e7e83334ccbe37a75c1"",""6f1a836923f09b77298d47a26929fa40df3a131d"",""8172ea5963a9264615eae32ca7cb63a31bdf3901"",""8416aead542f908238216761147fcc6bceb6f84f"",""8d6c9935c603bd99cdc7dd0cd2d59b115ee4e2c0"",""9d1cc81ed22eded9db1b478d3531c299f40fe3d8"",""bb13eca3618c166d53f5afcef9f0a42a8a4cbf12"",""c68805c27ac47bd1d67862cf71f838b77e2807f8"",""d6a2a6a370e6d28cd877f2729a1bdbff79b7e21d"",""dc0ef2efa140a4db44c73fc80dce8397c22537a9"",""e5d17126e35246962a257c154be95aaaef730e9f"",""f377601bc4b958ce45ba6efab99feabbb92be382""]",HIGH
322,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=4246 | current head/base unchanged from Phase 1: b89cb30249781dc46721d7b5395b05831b56ccd4 / 273e3b456ed01ef4d9efff9f35b334bd5527b7ce,"[""b89cb30249781dc46721d7b5395b05831b56ccd4""]",HIGH
324,SAFE_TO_CLOSE_ALREADY_IN_MAIN,2/2 API-listed commits reachable from current origin/main,2/2 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=4232 | current head/base unchanged from Phase 1: 3b9012e66bd66d611591048ac5ded01cfd8d23b1 / 2e1ee3ae0a5426414ff4460455692311158ca00b,"[""3b9012e66bd66d611591048ac5ded01cfd8d23b1"",""3dce7ed4dac893915e4af19c1485f4fa88da0675""]",HIGH
325,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=4231 | current head/base unchanged from Phase 1: 4bcaf570dadd1f1378845804b869d2463c11ca9c / 3b9012e66bd66d611591048ac5ded01cfd8d23b1,"[""4bcaf570dadd1f1378845804b869d2463c11ca9c""]",HIGH
326,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=4226 | current head/base unchanged from Phase 1: 02c6e76d5f327a20e1d6c1d17b64bddc92b71a10 / 4bcaf570dadd1f1378845804b869d2463c11ca9c,"[""02c6e76d5f327a20e1d6c1d17b64bddc92b71a10""]",HIGH
327,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=4225 | current head/base unchanged from Phase 1: 5c9124a23ac6b9e0fa84a0d224511a05bb398625 / 02c6e76d5f327a20e1d6c1d17b64bddc92b71a10,"[""5c9124a23ac6b9e0fa84a0d224511a05bb398625""]",HIGH
328,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=4214 | current head/base unchanged from Phase 1: 05a6a2ebbc5924e8d4e823cb43be513e6e88816a / 5c9124a23ac6b9e0fa84a0d224511a05bb398625,"[""05a6a2ebbc5924e8d4e823cb43be513e6e88816a""]",HIGH
329,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=4201 | current head/base unchanged from Phase 1: f8e065004fc3b7066a3043e72903e5a46d57a385 / 05a6a2ebbc5924e8d4e823cb43be513e6e88816a,"[""f8e065004fc3b7066a3043e72903e5a46d57a385""]",HIGH
330,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=4186 | current head/base unchanged from Phase 1: 77401ab3eca4fa41bcd463783114ecdec71d54f5 / f8e065004fc3b7066a3043e72903e5a46d57a385,"[""77401ab3eca4fa41bcd463783114ecdec71d54f5""]",HIGH
331,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=4181 | current head/base unchanged from Phase 1: 144ea9ef1b4888a74a3305078a2dc3b2d692734f / 77401ab3eca4fa41bcd463783114ecdec71d54f5,"[""144ea9ef1b4888a74a3305078a2dc3b2d692734f""]",HIGH
332,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=4175 | current head/base unchanged from Phase 1: 07bf0bb6004b5dd73ea8b11117eccb75f0471096 / 144ea9ef1b4888a74a3305078a2dc3b2d692734f,"[""07bf0bb6004b5dd73ea8b11117eccb75f0471096""]",HIGH
334,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=4172 | current head/base unchanged from Phase 1: 62c3f380137d714c4986553804f9ddf439dbc506 / 07bf0bb6004b5dd73ea8b11117eccb75f0471096,"[""62c3f380137d714c4986553804f9ddf439dbc506""]",HIGH
335,SAFE_TO_CLOSE_ALREADY_IN_MAIN,1/1 API-listed commits reachable from current origin/main,1/1 API-listed commits reachable from current origin/main | 0/0 non-reachable commits have exact stable patch-id matches | origin/main...head paths=0; two-tree paths=4161 | current head/base unchanged from Phase 1: a1fe7022ce39561b4924b35bac67830f4fa5fa70 / 62c3f380137d714c4986553804f9ddf439dbc506,"[""a1fe7022ce39561b4924b35bac67830f4fa5fa70""]",HIGH
