capability,historical_pr,historical_commit,historical_file,historical_behavior,current_authority,classification,planned_action,risk,notes
Utilization,#782,46f533afc431d9c68a4486133313e4f5d7888de0,evaluations-utilization-model.ts (utilization-model-v1),"Time-weighted: capacity=periodMs; rented=merged booking intervals (active/completed); maintenance/blocked=ServiceCase downtime; net=capacity-maint-blocked; util=rented/net",Booking(startDate,endDate,status) + ServiceCase(downtimeStart/End,blocksRental) + VehicleStatus,REIMPLEMENT_FOR_CURRENT_ARCHITECTURE,"Reimplement time-weighted utilization with interval clip+union; capacity from real period ms (DST-safe); adopt utilization-model-e4-v1",MED,"Snapshot-only fallback treated whole period as downtime -> keep as PARTIAL/coverage-limited only"
Utilization,#782,46f533afc431d9c68a4486133313e4f5d7888de0,VehicleLatestState.online telemetry drilldown (informational),Telemetry offline is informational only NOT downtime,Telemetry-offline != downtime invariant,ALREADY_IN_MAIN,"Preserve invariant: telemetry offline never converted to maintenance/blocked",LOW,"TELEMETRY_OFFLINE_DOWNTIME_MISCLASS_COUNT must stay 0"
Utilization,#782,46f533afc431d9c68a4486133313e4f5d7888de0,home-station grouping for station utilization,Groups by Vehicle.homeStationId (current station),Station history is incomplete (VehicleStationTransfer events only),SEMANTICALLY_INCORRECT,"Do NOT apply current station retroactively; station-scoped historical utilization -> PARTIAL/UNAVAILABLE (coverage-limited)",HIGH,"CURRENT_STATION_RETROACTIVE_HISTORY_COUNT must stay 0"
Strength Detection,#783,f5cfe0c5cda1bef260dca6a0417977701530210e,shared/evaluations-insights/evaluations-strength-detection.ts (strength-detection-v1),"12 rule ids (HIGH_UTILIZATION, REVENUE_GROWTH, LOW_OVERDUE_RATE, etc.) with ORG_TARGET/HISTORICAL_PERIOD/PEER_STATIONS comparators + evidence gates + overlap suppression",E4 utilization/cost + E3 finance evidence,REIMPLEMENT_FOR_CURRENT_ARCHITECTURE,"Reimplement deterministic rules with ruleId/version/metric/evidence/threshold/comparator/scope/period; evidence gate; dedup; stable ordering; adopt strength-detection-e4-v1",MED,"STRENGTH_INSUFFICIENT_EVIDENCE_COUNT must stay 0"
Strength Detection,#783,f5cfe0c5cda1bef260dca6a0417977701530210e,GOOD_DATA_QUALITY rule + DQ suppression,Data-quality strength inside detection,E5 owns Data Quality,E5_SCOPE,"Drop DQ strength rule; keep only local coverage gating",LOW,E5_SCOPE_LEAK_COUNT must stay 0
Weakness Detection,#784,32714750f7f197c5a8e4b9bb304011ca2444a05d,shared/evaluations-insights/evaluations-weakness-detection.ts (weakness-detection-v1),"13 rule ids + severity + categories + dedup groups; financialImpact labeled OBSERVATION/ESTIMATE/FORECAST; recommendedNextAnalysis strings",E4 evidence + E1 status,REIMPLEMENT_FOR_CURRENT_ARCHITECTURE,"Reimplement deterministic weaknesses with severity + evidence gate; OBSERVATION allowed, ESTIMATE only with provenance, FORECAST deferred to E8; adopt weakness-detection-e4-v1",MED,"WEAKNESS_INSUFFICIENT_EVIDENCE_COUNT / E8_FORECAST_IMPLEMENTATION_LEAK_COUNT must stay 0"
Weakness Detection,#784,32714750f7f197c5a8e4b9bb304011ca2444a05d,recommendedNextAnalysis + estimatedExposureMinor on COMPLIANCE_RISKS,Analysis-hint strings + aggregated insight exposure,E7 owns recommendations/actions; E3.5 no unsafe exposure,E7_SCOPE,"Drop recommendedNextAnalysis (E7) and guessed exposure Money; observations only",MED,"E7_ACTION_SCOPE_LEAK_COUNT / UNSAFE_FINANCIAL_EXPOSURE_REINTRODUCTION_COUNT must stay 0"
Driver / Influence Analysis,#786,56b9efe22b059cedf5aff64188922aef6e10ba37,shared/evaluations-insights/evaluations-driver-analysis.ts (driver-analysis-v1),"Rule-based influence decomposition per detected outcome; DRIVER_ANALYSIS_DISCLAIMER (correlation != causation); confounders; magnitude sharePercent",Drivers = Customer records (org-scoped); E4 parent evidence,REIMPLEMENT_FOR_CURRENT_ARCHITECTURE,"Reimplement association-only influence over parent evidence; disclaimer + confounders; sample/evidence gate; tenant-scoped Customer; adopt driver-analysis-e4-v1",MED,"DRIVER_CAUSAL_CLAIM_COUNT / DRIVER_INSUFFICIENT_SAMPLE_RESULT_COUNT / CROSS_TENANT_DRIVER_ANALYSIS_LEAK_COUNT must stay 0"
Driver / Influence Analysis,#786,56b9efe22b059cedf5aff64188922aef6e10ba37,risk driver affected entities placeholder ids (aggregated-1),Placeholder entity ids in risk drivers,Tenant-safe entity references,OBSOLETE,"Do not emit placeholder entity ids; reference real org-scoped ids or aggregate only",LOW,No fabricated entity references
Driver / Influence Analysis,#786,56b9efe22b059cedf5aff64188922aef6e10ba37,trend stubs (utilization trend not persisted),Trend fields deferred to future time-series,E8 owns prediction/forecast,E8_SCOPE,"Do not implement forecast/trend prediction; omit or mark UNAVAILABLE",LOW,E8_SCOPE_LEAK_COUNT must stay 0
