# SUPERSEDED_BY_E6_0 (2026-08-12): component-level salvage classifications refined in phase3-e6-component-salvage-matrix-2026-08.csv; see also phase3-e6-execution-blueprint-2026-08.md
artifact_type,artifact_id,title,branch,sha,state,path,historical_phase,classification,canonical_replacement,reuse_decision,risk,notes
pr,#806,Masznahmen-Center / Action Center UI (Prompt 37/54),cursor/evaluations-action-center-8427,723b56660990,OPEN,frontend,E7,BELONGS_TO_E7,n/a,DO_NOT_IMPLEMENT_IN_E6,contamination,Reserve for E7 (actions UI)
pr,#814,Forecast UX (Prompt 45),cursor/evaluations-forecast-ux-8427,46b905ad6a44,OPEN,frontend,E8/E9,BELONGS_TO_E8_E9,n/a,DO_NOT_IMPLEMENT_IN_E6,contamination,Reserve for E8 (predictive) / E9 (forecast UI)
branch,br-792,metric-state-ux,cursor/evaluations-metric-state-ux-8427,c82e44936217,NOT_MERGED,n/a,E6,E6_CANDIDATE,n/a,RETAIN,low,Pre-E1 base; orphaned vs main
branch,br-794,information-architecture,cursor/evaluations-information-architecture-8427,14072b3141bb,NOT_MERGED,n/a,E6,E6_CANDIDATE,n/a,RETAIN,med,Pre-E1 base; orphaned vs main
endpoint,e1-registry,Metric registry,main,a704fdcc,MERGED,GET /api/v1/evaluations-metrics/registry,E1,CANONICAL,self,CONSUME,low,No feature flag
endpoint,e2-summary,Entity-reference analytics summary,main,a704fdcc,MERGED,GET /api/v1/organizations/:orgId/evaluations/analytics/summary,E2,CANONICAL,self,CONSUME_WITH_CARE,low,Entity refs NOT business KPIs; do not confuse with E4 insights summary
endpoint,e3-finance,Financial insights,main,a704fdcc,MERGED,GET /api/v1/organizations/:orgId/evaluations/finance/insights,E3,CANONICAL,self,CONSUME,low,perm invoices:read; station-scoped=UNAVAILABLE
endpoint,e4-insights,Composite analytics insights + granular sections,main,a704fdcc,MERGED,GET /api/v1/organizations/:orgId/evaluations/analytics/insights/{summary|cost-model|utilization|strengths|weaknesses|driver-analysis},E4,CANONICAL,self,CONSUME,med,Behind EVALUATIONS_ANALYTICS_V2_MODE; driver section carries piiTier
endpoint,e5-quality,Data quality report,main,a704fdcc,MERGED,GET /api/v1/organizations/:orgId/evaluations/analytics/insights/quality,E5,CANONICAL,self,CONSUME,med,Behind flag; multi-dimensional; overall.complete structurally false (freshness UNKNOWN)
frontend,fe-financialinsights,FinancialInsightsView (Auswertungen page),main,a704fdcc,MERGED,frontend/src/rental/components/FinancialInsightsView.tsx,E6-partial,PARTIALLY_CONNECTED,E3/E4/E5,EVOLVE,med,Consumes E3 finance + legacy dashboard-insights; not E2/E4/E5 analytics
frontend,fe-cockpit,InsightsCockpit,main,a704fdcc,MERGED,frontend/src/rental/components/insights/InsightsCockpit.tsx,E6-partial,PARTIALLY_CONNECTED,E4,EVOLVE,med,Uses dashboard-insights + misuse-cases; IA #794 removes it from page
frontend,fe-provenance,Client provenance builders (unwired),main,a704fdcc,MERGED,frontend/src/rental/lib/evaluations/evaluations-financial-provenance.ts,E6-prep,PLACEHOLDER,E5 quality lineage,REPLACE_WITH_CANONICAL_CONTRACT,med,Not imported by UI; duplicates E5
frontend,fe-registry,Client registry/calc-version lookup (unwired),main,a704fdcc,MERGED,frontend/src/rental/lib/evaluations/evaluations-metric-registry.ts,E6-prep,PLACEHOLDER,E1 registry endpoint,REPLACE_WITH_CANONICAL_CONTRACT,low,Comment references API; no HTTP client
frontend,fe-legacymath,Legacy client invoice math,main,a704fdcc,MERGED,frontend/src/rental/lib/financial-insights.logic.ts,E6-legacy,LEGACY,E3/E4,REPLACE_WITH_CANONICAL_CONTRACT,med,Client-side detail/chart math; duplicate calculation
frontend,fe-e2e,Evaluations E2E/visual specs,main,a704fdcc,MERGED,frontend/e2e/evaluations-flow.spec.ts;evaluations-a11y.spec.ts;evaluations-visual.spec.ts,E6,REUSABLE_WITH_ADAPTATION,self,EXTEND,low,From #818; extend for E6 IA
doc,doc-boundary,E1-E9 boundary (E6=UI),main,a704fdcc,MERGED,architecture/EVALUATIONS_E4_TENANT_SAFE_ANALYTICS_2026-08-11.md,E6,AUTHORITY,n/a,REFERENCE,low,Defines E6=UI boundary
doc,doc-ia,Historical IA spec (in PR #794),cursor/evaluations-information-architecture-8427,14072b3141bb,OPEN,docs/frontend/evaluations-information-architecture.md,E6,DESIGN_AUTHORITY,n/a,REUSE_DESIGN,med,9-section IA; not on main
