pr,pr_head_sha,historical_path,symbol,artifact_type,internal_logic_class,salvage_class,canonical_replacement,target_phase,privacy_risk,quality_risk,future_phase,notes
#794,14072b3141bb,frontend/src/rental/components/evaluations/sections/EvaluationsDataQualitySection.tsx,EvaluationsDataQualitySection,component,PRESENTATION_ONLY,ADAPT_COMPONENT,E5 quality,E6C,none,none,,
#794,14072b3141bb,frontend/src/rental/components/evaluations/sections/EvaluationsStrengthsWeaknessesSection.tsx,EvaluationsStrengthsWeaknessesSection,component,PRESENTATION_ONLY,ADAPT_COMPONENT,E4 strengths/weaknesses,E6B,none,none,,
#794,14072b3141bb,frontend/src/rental/components/evaluations/sections/EvaluationsGlobalFiltersSection.tsx,EvaluationsGlobalFiltersSection,component,PRESENTATION_ONLY,ADAPT_COMPONENT,E1 period + E2 station,E6B,none,none,,
#794,14072b3141bb,frontend/src/rental/components/evaluations/sections/EvaluationsRisksSection.tsx,EvaluationsRisksSection,component,FUTURE_PHASE_CONTAMINATION,BELONGS_TO_E9,n/a,E9,none,none,E9,contains weaknesses FORECAST filter (quantitativeDeviation kind FORECAST); reserve for E9
#794,14072b3141bb,frontend/src/rental/components/evaluations/sections/EvaluationsActionsSection.tsx,EvaluationsActionsSection,component,FUTURE_PHASE_CONTAMINATION,BELONGS_TO_E7,n/a,E7,none,none,E7,actions/recommendations; reserve for E7
#794,14072b3141bb,frontend/src/rental/hooks/useEvaluationsInvoiceData.ts,useEvaluationsInvoiceData,hook,LEGACY_DATA_LAYER,REIMPLEMENT_AGAINST_CANONICAL_API,E3/E4 canonical sections,E6A,high,high,,UNSAFE: fetches raw invoices/customers; client sums/margin/rankings; customerLabel name/email/id.slice PII. Replace with canonical; do not reuse
#794,14072b3141bb,frontend/src/rental/components/evaluations/EvaluationsFinanceInvoiceDetail.tsx,EvaluationsFinanceInvoiceDetail,component,PRESENTATION_WITH_UNSAFE_LOGIC,COPY_VISUAL_PATTERN_ONLY,E4/E3 canonical,E6B,high,low,,renders customerLabel (PII from client join). Reuse layout only; bind to server-permitted refs
#794,14072b3141bb,frontend/src/rental/components/evaluations/EvaluationsInsightListCard.tsx,EvaluationsInsightListCard,component,PRESENTATION_ONLY,ADAPT_COMPONENT,E4 sections,E6B,none,none,,
#794,14072b3141bb,frontend/src/rental/lib/evaluations-format.ts,evaluations-format,lib,PRESENTATION_ONLY,COPY_FORMATTING_PATTERN_ONLY,finance-insights-adapter currency-aware formatter,E6A,none,med,,"E6.0.1 CORRECTION: old_classification=REUSE_AS_IS. fmtEurMinor HARDCODES EUR -> unsafe as the generic Money renderer (violates no-implicit-EUR). Reuse ONLY for known-EUR/percent contexts; generic Money MUST use finance-insights-adapter (minorToMajorForPresentation + Money.currency)."
#795,2759f2235310,frontend/src/rental/components/evaluations/EvaluationsExecutiveKpiStrip.tsx,EvaluationsExecutiveKpiStrip,component,CANONICAL_COMPATIBLE,ADAPT_COMPONENT,E3 finance + E4 summary,E6B,none,low,,uses shared resolveExecutiveKpiStrip; ensure it reads canonical status; no client recompute in component
#795,2759f2235310,frontend/src/rental/components/evaluations/EvaluationsExecutiveKpiCard.tsx,EvaluationsExecutiveKpiCard,component,PRESENTATION_WITH_UNSAFE_LOGIC,ADAPT_COMPONENT,E1 metric response,E6B,none,med,,renders isForecast/isEstimate passthrough (drop isForecast for E6); percent delta display-only
#796,cb2ced964d28,frontend/src/rental/components/evaluations/EvaluationsSwCockpit.tsx,EvaluationsSwCockpit,component,CANONICAL_COMPATIBLE,ADAPT_COMPONENT,E4 strengths/weaknesses,E6B,none,med,,frontend safe; BUT shared evaluations-sw-cockpit.ts re-ranks/scores/dedupes -> forbidden client scoring; render E4 order/severity only
#796,cb2ced964d28,frontend/src/rental/components/evaluations/EvaluationsSwFindingCard.tsx,EvaluationsSwFindingCard,component,PRESENTATION_ONLY,ADAPT_COMPONENT,E4 finding,E6B,none,low,,shows confidence/isForecast/isEstimate; drop isForecast for E6
#796,cb2ced964d28,frontend/src/rental/components/evaluations/EvaluationsSwFindingDetailDrawer.tsx,EvaluationsSwFindingDetailDrawer,component,PRESENTATION_ONLY,COPY_VISUAL_PATTERN_ONLY,E4 finding evidence,E6B,none,none,,detail drawer pattern
#796,cb2ced964d28,shared/evaluations-insights/evaluations-sw-cockpit.ts,sortFindings/crossDedupeFindings/scores,lib,PRESENTATION_WITH_UNSAFE_LOGIC,SUPERSEDED_BY_E4,E4 detection order/severity,E6B,none,high,,client re-ranking/scoring/root-cause grouping duplicates E4 authority; do not reuse business logic
#798,7f6dde4c8c50,frontend/src/rental/components/EvaluationsPage.tsx,EvaluationsPage,component,PRESENTATION_ONLY,ADAPT_COMPONENT,n/a,E6B,none,none,,page composer; wire only E6 sections (strip Risks/Actions)
#798,7f6dde4c8c50,frontend/src/rental/components/evaluations/EvaluationsRiskCostVizPanel.tsx,EvaluationsRiskCostVizPanel,component,PRESENTATION_ONLY,COPY_VISUAL_PATTERN_ONLY,E4 cost-model (OPERATING_EXPENSES) + utilization downtime,E6B,none,med,,"E6.0.2.1: adapt the viz-orchestration SHELL/pattern ONLY (not 'E6-safe' wholesale). Allowed content = canonical E4 OPERATING_EXPENSES Money + canonical utilization/downtime facts + status/reason/unsupported/PARTIAL. FORBIDDEN: maintenance/damage/fixed-cost reconstruction, unsupported cost sums, mixed legacy Pareto/waterfall/aging, estimatedExposure, risk-matrix variant, predicted risk, forecast. Do not inherit safety from historical resolvers."
#798,7f6dde4c8c50,frontend/src/rental/components/evaluations/charts/EvaluationsChartCard.tsx,EvaluationsChartCard,component,PRESENTATION_ONLY,ADAPT_COMPONENT,n/a,E6B,none,none,,generic chart shell; drop isForecast slot for E6
#798,7f6dde4c8c50,frontend/src/rental/components/evaluations/charts/EvaluationsChartDataTable.tsx,EvaluationsChartDataTable,component,PRESENTATION_ONLY,REUSE_AS_IS,n/a,E6B,none,none,,generic accessible data table for charts
#798,7f6dde4c8c50,frontend/src/rental/components/evaluations/charts/EvaluationsRiskCostCharts.tsx,EvaluationsRiskCostCharts,component,PRESENTATION_ONLY,ADAPT_COMPONENT,E4 cost-model (OPERATING_EXPENSES) + utilization downtime,E6B,none,med,,"E6.0.2.1/2.2 CORRECTION (supersedes an earlier over-broad chart-level E6 note): ADAPT the chart SHELL/pattern ONLY. Allowed E6 content = canonical E4 OPERATING_EXPENSES Money (totalsByCurrency, mixedCurrency state), canonical current/historical utilization/downtime facts, canonical status/reason, canonical unsupported/PARTIAL state. FORBIDDEN: maintenance/damage/fixed-cost monetary reconstruction, unsupported cost-category sums, mixed legacy Pareto totals, legacy waterfall/aging-series over unsupported categories, estimatedExposure, predicted risk, forecast. Historical data resolvers/formulas MUST NOT be reused unless individually proven canonical; exclude risk-matrix."
#798,7f6dde4c8c50,frontend/src/rental/components/evaluations/charts/EvaluationsRiskMatrixChart.tsx,EvaluationsRiskMatrixChart,component,FUTURE_PHASE_CONTAMINATION,BELONGS_TO_E8,n/a,E8,none,none,E8,cellTone(probability+impact) client risk scoring; probability/impact/confidence = predictive; reserve for E8
#798,7f6dde4c8c50,shared/evaluations-insights/evaluations-risk-cost-visualizations.ts,resolveRiskMatrix/scaleToFive/exposure,lib,FUTURE_PHASE_CONTAMINATION,BELONGS_TO_E8,n/a,E8,none,high,E8,"E6.0.2.1/2.2 CORRECTION (supersedes an earlier over-broad note implying this file's cost/downtime helpers were reusable by default): the OVERALL module BELONGS_TO_E8 (predictive risk synthesis: probability x impact, confidence, exposure allocation). Nothing is E6-safe by inheriting from this file. Specifically FORBIDDEN for E6: maintenance/damage/fixed-cost derivation, unsupported cost Pareto/waterfall aggregation, estimatedExposure, probability/confidence, risk synthesis, forecast. A helper is E6-usable ONLY if it merely formats/transforms already-canonical E4 OPERATING_EXPENSES/utilization facts without recomputing truth, and then it must be classified individually (GENERIC_VISUAL_PATTERN_ONLY or ADAPT_COMPONENT), never by parent-file inheritance."
#801,6434434e750a,frontend/src/rental/components/evaluations/evaluations-responsive.constants.ts,evaluations-responsive.constants,lib,PRESENTATION_ONLY,COPY_RESPONSIVE_PATTERN_ONLY,n/a,E6D,none,none,,breakpoint constants; adapt to current page shell
#801,6434434e750a,frontend/e2e/evaluations-responsive.spec.ts,evaluations-responsive.spec,test,PRESENTATION_ONLY,COPY_RESPONSIVE_PATTERN_ONLY,n/a,E6D,none,none,,responsive e2e pattern; extend #818 harness
#803,ddad560687ad,frontend/src/rental/i18n/translations/de.ts,evaluations.* DE strings,i18n,PRESENTATION_ONLY,COPY_I18N_PATTERN_ONLY,project i18n system,E6D,none,none,,reuse DE keys via existing translation system; no hardcoded text
#803,ddad560687ad,frontend/src/rental/i18n/translations/en.ts,evaluations.* EN strings,i18n,PRESENTATION_ONLY,COPY_I18N_PATTERN_ONLY,project i18n system,E6D,none,none,,reuse EN keys
#803,ddad560687ad,(a11y patterns across components),aria/landmarks/focus,pattern,PRESENTATION_ONLY,COPY_A11Y_PATTERN_ONLY,n/a,E6D,none,none,,ARIA/landmarks/keyboard/chart a11y patterns
#804,9eae4b1246fc,(recommendation domain),recommendation model,backend/frontend,FUTURE_PHASE_CONTAMINATION,BELONGS_TO_E7,n/a,E7,none,none,E7,reserve for E7
#806,723b56660990,(action center UI),Massnahmen-Center,frontend,FUTURE_PHASE_CONTAMINATION,BELONGS_TO_E7,n/a,E7,none,none,E7,reserve for E7
#814,46b905ad6a44,(forecast UX),forecast UI,frontend,FUTURE_PHASE_CONTAMINATION,BELONGS_TO_E9,n/a,E9,none,none,E9,reserve for E8/E9
current,a704fdcc,frontend/src/rental/components/FinancialInsightsView.tsx,FinancialInsightsView,component,PRESENTATION_WITH_UNSAFE_LOGIC,ADAPT_COMPONENT,E3/E4/E5,E6B,med,high,,ONE page entry; core KPIs canonical; lower sections legacy client math+PII; green-washes net-result when E3 unavailable; evolve in place
current,a704fdcc,frontend/src/rental/components/insights/InsightsCockpit.tsx,InsightsCockpit,component,PRESENTATION_WITH_UNSAFE_LOGIC,ADAPT_COMPONENT,E4 summary,E6B,low,med,,"E6.0.1: canonical KPIs migrate to E4 insights/summary. dashboard-insights=KEEP_OUTSIDE_CANONICAL_E6 and misuse-cases=KEEP_IN_PRODUCT_OUTSIDE_E6_CANONICAL_COMPOSITION -> NOT mixed into canonical E6 sections, NOT a canonical fallback; do not delete endpoints/other consumers."
current,a704fdcc,frontend/src/rental/lib/financial-insights.logic.ts,financial-insights.logic,lib,LEGACY_DATA_LAYER,REIMPLEMENT_AGAINST_CANONICAL_API,E3/E4,E6A,none,high,,15+ FORBIDDEN_DUPLICATE_AUTHORITY calc fns; LEGACY_BUT_OTHER_CONSUMERS_EXIST (dashboard Business Pulse) - migrate page off it; do not delete until dashboard migrates
current,a704fdcc,frontend/src/rental/lib/finance-insights-adapter.ts,finance-insights-adapter,lib,CANONICAL_COMPATIBLE,REUSE_AS_IS,E3 metric response,E6A,none,low,,correct status-aware boundary; extend pattern for E4/E5; fix PARTIAL/STALE badge gap
current,a704fdcc,frontend/src/rental/lib/evaluations/evaluations-financial-provenance.ts,evaluations-financial-provenance,lib,LEGACY_DATA_LAYER,SUPERSEDED_BY_E5,E5 quality lineage,E6C,none,med,,unwired client provenance; delete after E5 quality panel ships
#798,7f6dde4c8c50,(cost) OPERATING_EXPENSES totalsByCurrency/eventCount,operating-expenses money,symbol,CANONICAL_COMPATIBLE,E6_CANONICAL_RENDERABLE,E4 cost-model OPERATING_EXPENSES (OrgInvoice explicit currency),E6B,none,none,,"E6.0.1: only authoritative cost money (OrgInvoice INCOMING). Render totalsByCurrency + reportingCurrency + mixedCurrency + status/coverage."
#798,7f6dde4c8c50,(cost) UNPLANNED_MAINTENANCE amount/waterfall step,maintenance cost money,symbol,PRESENTATION_WITH_UNSAFE_LOGIC,E6_STATUS_ONLY,E4 renders UNAVAILABLE (unproven currency/provenance),E6B,none,high,,"E6.0.1 CORRECTION: old=E6_CURRENT_STATE. ServiceCase.actualCostCents has no proven currency -> E4 serves UNAVAILABLE. Render E4 status+reason ONLY; NO amount."
#798,7f6dde4c8c50,(cost) DAMAGE_REPAIR amount/waterfall step,damage cost money,symbol,PRESENTATION_WITH_UNSAFE_LOGIC,E6_STATUS_ONLY,E4 renders UNAVAILABLE (unproven currency/provenance),E6B,none,high,,"E6.0.1 CORRECTION: old=E6_CURRENT_STATE. VehicleDamage.repairCostCents no proven currency -> UNAVAILABLE. Status+reason ONLY; NO amount; do not assign reporting currency."
#798,7f6dde4c8c50,(cost) ESTIMATED_FIXED_COSTS amount,fixed cost money,symbol,PRESENTATION_WITH_UNSAFE_LOGIC,E6_STATUS_ONLY,E4 explicitly UNSUPPORTED (no currency/periodicity/effective-date),E6B,none,high,,"E6.0.1 CORRECTION: old=E6_CURRENT_STATE. leasing/insurance/tax excluded by E4 (no fabricated accrual). Render UNAVAILABLE+reason; NO monthly normalization/EUR assumption/extrapolation."
#798,7f6dde4c8c50,(cost) pareto/waterfall/aging series mixing unsupported categories,cost series,symbol,PRESENTATION_WITH_UNSAFE_LOGIC,UNSAFE_LEGACY_CALCULATION,E4 cost-model per-category status (OPERATING_EXPENSES only),E6B,none,high,,"E6.0.1: client series/pareto/aging that sum non-canonical (maintenance/damage/fixed) amounts are unsafe; only OPERATING_EXPENSES per-currency totals may be charted."
#798,7f6dde4c8c50,estimatedExposure/exposureMinor,estimated exposure,symbol,FUTURE_PHASE_CONTAMINATION,E8_PREDICTIVE,none (no E1-E5 contract),E8,none,none,E8,"E6.0.1 DECISION: old=E6_CURRENT_STATE. No canonical contract; it is a risk estimate (probability x impact allocation via shared resolveRiskMatrix). REMOVE from E6; reserve E8. Do NOT reconstruct from damage/maintenance/invoice/legacy/P*I."
#798,7f6dde4c8c50,(downtime) maintenanceMs/netCapacityMs/capacityMs + maintenance/blocked/cleaning vehicle counts,downtime observed,symbol,CANONICAL_COMPATIBLE,E6_CANONICAL_RENDERABLE,E4 utilization section (blockedMs null->UNAVAILABLE),E6B,none,low,,"E6.0.1: current downtime durations/counts from E4 utilization are canonical (time/counts, not money). blockedMs null -> render UNAVAILABLE."
