violation_id,category,dependency_changeset,dependent_changeset,dependency_package,dependent_package,evidence,resolution,status
EXT-019,UNKNOWN_CROSS_MODULE_DEPENDENCY,cs-observability-api-and-domain-contracts,cs-evaluations-strength-detection,,E3,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER,REPAIRED
EXT-020,UNKNOWN_CROSS_MODULE_DEPENDENCY,cs-observability-api-and-domain-contracts,cs-evaluations-weakness-detection,,E3,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER,REPAIRED
EXT-021,UNKNOWN_CROSS_MODULE_DEPENDENCY,cs-observability-api-and-domain-contracts,cs-evaluations-driver-influence-analysis,,E3,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER,REPAIRED
EXT-022,UNKNOWN_CROSS_MODULE_DEPENDENCY,cs-observability-api-and-domain-contracts,cs-evaluations-data-quality,,E4,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER,REPAIRED
EXT-023,UNKNOWN_CROSS_MODULE_DEPENDENCY,cs-infrastructure-api-and-domain-contracts,cs-evaluations-freshness-lineage,,E4,Phase-2 source commit 8cec86c… changes only Voice Assistant agent-deployment controller/service; no evaluation import or contract exists.,REMOVED_UNRELATED_VOICE_INFRASTRUCTURE,REPAIRED
EXT-024,UNKNOWN_CROSS_MODULE_DEPENDENCY,cs-observability-api-and-domain-contracts,cs-evaluations-freshness-lineage,,E4,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER,REPAIRED
EXT-025,UNKNOWN_CROSS_MODULE_DEPENDENCY,cs-observability-api-and-domain-contracts,cs-evaluations-metric-state-ux,,E4,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER,REPAIRED
EXT-026,UNKNOWN_CROSS_MODULE_DEPENDENCY,cs-infrastructure-api-and-domain-contracts,cs-evaluations-data-quality-panel,,E5,Phase-2 source commit 8cec86c… changes only Voice Assistant agent-deployment controller/service; no evaluation import or contract exists.,REMOVED_UNRELATED_VOICE_INFRASTRUCTURE,REPAIRED
EXT-027,UNKNOWN_CROSS_MODULE_DEPENDENCY,cs-observability-api-and-domain-contracts,cs-evaluations-data-quality-panel,,E5,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER,REPAIRED
EXT-028,UNKNOWN_CROSS_MODULE_DEPENDENCY,cs-infrastructure-api-and-domain-contracts,cs-evaluations-executive-kpi-strip,,E5,Phase-2 source commit 8cec86c… changes only Voice Assistant agent-deployment controller/service; no evaluation import or contract exists.,REMOVED_UNRELATED_VOICE_INFRASTRUCTURE,REPAIRED
EXT-029,UNKNOWN_CROSS_MODULE_DEPENDENCY,cs-observability-api-and-domain-contracts,cs-evaluations-executive-kpi-strip,,E5,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER,REPAIRED
EXT-030,UNKNOWN_CROSS_MODULE_DEPENDENCY,cs-observability-api-and-domain-contracts,cs-evaluations-strength-weakness-cockpit,,E5,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER,REPAIRED
EXT-031,UNKNOWN_CROSS_MODULE_DEPENDENCY,cs-observability-api-and-domain-contracts,cs-evaluations-risk-cost-failure-visuals,,E5,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER,REPAIRED
EXT-032,UNKNOWN_CROSS_MODULE_DEPENDENCY,cs-observability-api-and-domain-contracts,cs-evaluations-recommendation-domain,,E6,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER,REPAIRED
EXT-033,UNKNOWN_CROSS_MODULE_DEPENDENCY,cs-infrastructure-api-and-domain-contracts,cs-evaluations-action-center,,E6,Phase-2 source commit 8cec86c… changes only Voice Assistant agent-deployment controller/service; no evaluation import or contract exists.,REMOVED_UNRELATED_VOICE_INFRASTRUCTURE,REPAIRED
EXT-034,UNKNOWN_CROSS_MODULE_DEPENDENCY,cs-observability-api-and-domain-contracts,cs-evaluations-action-center,,E6,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER,REPAIRED
EXT-035,UNKNOWN_CROSS_MODULE_DEPENDENCY,cs-observability-api-and-domain-contracts,cs-evaluations-action-integrations,,E6,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER,REPAIRED
EXT-036,UNKNOWN_CROSS_MODULE_DEPENDENCY,cs-observability-api-and-domain-contracts,cs-evaluations-impact-measurement,,E6,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER,REPAIRED
EXT-037,UNKNOWN_CROSS_MODULE_DEPENDENCY,cs-infrastructure-api-and-domain-contracts,cs-evaluations-predictive-analytics-architecture,,E7,Phase-2 source commit 8cec86c… changes only Voice Assistant agent-deployment controller/service; no evaluation import or contract exists.,REMOVED_UNRELATED_VOICE_INFRASTRUCTURE,REPAIRED
EXT-038,UNKNOWN_CROSS_MODULE_DEPENDENCY,cs-observability-api-and-domain-contracts,cs-evaluations-predictive-analytics-architecture,,E7,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER,REPAIRED
EXT-039,UNKNOWN_CROSS_MODULE_DEPENDENCY,cs-observability-api-and-domain-contracts,cs-evaluations-feature-store,,E7,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER,REPAIRED
EXT-040,UNKNOWN_CROSS_MODULE_DEPENDENCY,cs-infrastructure-api-and-domain-contracts,cs-evaluations-demand-revenue-utilization-forecast,,E7,Phase-2 source commit 8cec86c… changes only Voice Assistant agent-deployment controller/service; no evaluation import or contract exists.,REMOVED_UNRELATED_VOICE_INFRASTRUCTURE,REPAIRED
EXT-041,UNKNOWN_CROSS_MODULE_DEPENDENCY,cs-observability-api-and-domain-contracts,cs-evaluations-demand-revenue-utilization-forecast,,E7,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER,REPAIRED
EXT-042,UNKNOWN_CROSS_MODULE_DEPENDENCY,cs-infrastructure-api-and-domain-contracts,cs-evaluations-maintenance-failure-forecast,,E7,Phase-2 source commit 8cec86c… changes only Voice Assistant agent-deployment controller/service; no evaluation import or contract exists.,REMOVED_UNRELATED_VOICE_INFRASTRUCTURE,REPAIRED
EXT-043,UNKNOWN_CROSS_MODULE_DEPENDENCY,cs-observability-api-and-domain-contracts,cs-evaluations-maintenance-failure-forecast,,E7,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER,REPAIRED
EXT-044,UNKNOWN_CROSS_MODULE_DEPENDENCY,cs-infrastructure-api-and-domain-contracts,cs-evaluations-backtesting-drift,,E7,Phase-2 source commit 8cec86c… changes only Voice Assistant agent-deployment controller/service; no evaluation import or contract exists.,REMOVED_UNRELATED_VOICE_INFRASTRUCTURE,REPAIRED
EXT-045,UNKNOWN_CROSS_MODULE_DEPENDENCY,cs-observability-api-and-domain-contracts,cs-evaluations-backtesting-drift,,E7,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER,REPAIRED
EXT-046,UNKNOWN_CROSS_MODULE_DEPENDENCY,cs-infrastructure-api-and-domain-contracts,cs-evaluations-forecast-ux,,E8,Phase-2 source commit 8cec86c… changes only Voice Assistant agent-deployment controller/service; no evaluation import or contract exists.,REMOVED_UNRELATED_VOICE_INFRASTRUCTURE,REPAIRED
EXT-047,UNKNOWN_CROSS_MODULE_DEPENDENCY,cs-observability-api-and-domain-contracts,cs-evaluations-forecast-ux,,E8,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER,REPAIRED
EXT-048,UNKNOWN_CROSS_MODULE_DEPENDENCY,cs-infrastructure-api-and-domain-contracts,cs-evaluations-gdpr,,E4,Phase-2 source commit 8cec86c… changes only Voice Assistant agent-deployment controller/service; no evaluation import or contract exists.,REMOVED_UNRELATED_VOICE_INFRASTRUCTURE,REPAIRED
EXT-049,UNKNOWN_CROSS_MODULE_DEPENDENCY,cs-observability-api-and-domain-contracts,cs-evaluations-gdpr,,E4,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER,REPAIRED
EXT-050,UNKNOWN_CROSS_MODULE_DEPENDENCY,cs-roles-access-api-and-domain-contracts,cs-evaluations-gdpr,,E4,"The historical changeset contains booking handover files; current main already provides OrgScopingGuard, PermissionsGuard, RequirePermission and versioned organization-role defaults.",USE_CURRENT_MAIN_CENTRAL_RBAC,REPAIRED
EXT-051,UNKNOWN_CROSS_MODULE_DEPENDENCY,cs-infrastructure-api-and-domain-contracts,cs-evaluations-roles-permissions,,E4,Phase-2 source commit 8cec86c… changes only Voice Assistant agent-deployment controller/service; no evaluation import or contract exists.,REMOVED_UNRELATED_VOICE_INFRASTRUCTURE,REPAIRED
EXT-052,UNKNOWN_CROSS_MODULE_DEPENDENCY,cs-observability-api-and-domain-contracts,cs-evaluations-roles-permissions,,E4,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER,REPAIRED
EXT-053,UNKNOWN_CROSS_MODULE_DEPENDENCY,cs-roles-access-api-and-domain-contracts,cs-evaluations-roles-permissions,,E4,"The historical changeset contains booking handover files; current main already provides OrgScopingGuard, PermissionsGuard, RequirePermission and versioned organization-role defaults.",USE_CURRENT_MAIN_CENTRAL_RBAC,REPAIRED
EXT-054,UNKNOWN_CROSS_MODULE_DEPENDENCY,cs-infrastructure-api-and-domain-contracts,cs-evaluations-audit-logging,,E6,Phase-2 source commit 8cec86c… changes only Voice Assistant agent-deployment controller/service; no evaluation import or contract exists.,REMOVED_UNRELATED_VOICE_INFRASTRUCTURE,REPAIRED
EXT-055,UNKNOWN_CROSS_MODULE_DEPENDENCY,cs-observability-api-and-domain-contracts,cs-evaluations-audit-logging,,E6,"Phase-2 affected files are evaluations metric/finance/UI files from the same source commits, not an independent observability contract; current main preserves #819 observability, Nest Logger and the evaluations operations runbook.",REMOVED_AS_EXTERNAL_RECOVERY_BLOCKER,REPAIRED
EXT-056,UNKNOWN_CROSS_MODULE_DEPENDENCY,cs-roles-access-api-and-domain-contracts,cs-evaluations-audit-logging,,E6,"The historical changeset contains booking handover files; current main already provides OrgScopingGuard, PermissionsGuard, RequirePermission and versioned organization-role defaults.",USE_CURRENT_MAIN_CENTRAL_RBAC,REPAIRED
ORDER-001,INVALID_PACKAGE_ORDER,cs-evaluations-summary-detail-separation,cs-evaluations-grouping-entity-references,E3,E1,Phase-2.5 package order placed the dependency in a later package.,Removed/reversed by source-import analysis and regrouped atomically in E2.,REPAIRED
ORDER-002,INVALID_PACKAGE_ORDER,cs-evaluations-tenant-isolation,cs-evaluations-analytics-contracts,E4,E1,Phase-2.5 package order placed the dependency in a later package.,Removed/reversed by source-import analysis and regrouped atomically in E2.,REPAIRED
CYCLE-001,SOURCE_DERIVED_PACKAGE_CYCLE,,,E1;E3;E4,,"Original changeset projection SCC: ['E1', 'E3', 'E4'].",Rebuilt package DAG exclusively from normalized changeset edges.,REPAIRED
DAG-001,DECLARED_DAG_NOT_SOURCE_DERIVED,,,,,Declared edges=17; source-derived original edges=8; SHA-256=d69524ccace9097173d1d4e3a2c3b677b1c624c5c319ed84ac72683e6f30b6b4.,Phase-2.6 DAG is generated only from active normalized changeset edges.,REPAIRED
