changeset_id,capability,status,source_prs,source_commits,already_in_main,needs_port,needs_reimplementation,dependencies,architecture_decisions,package_id,risk,migration,backend,frontend,worker,security,privacy,integration_method,tests,staging,vps,rollback,confidence
cs-evaluations-data-quality,Data Quality,REQUIRED_BUT_NEEDS_PORT,788,2c32183956d3aa4ce56cd3ce4b02f33bcb3dc9b4,false,true,false,cs-evaluations-driver-influence-analysis;cs-observability-api-and-domain-contracts,EVAL-ADR-003,E4,HIGH,false,true,true,false,false,false,PORT_PATCH_MANUALLY,backend evaluations contract/domain/integration tests;frontend evaluations component and accessibility regression,Required,Required after staging,Revert the isolated recovery commit and redeploy the prior release.,HIGH
cs-evaluations-freshness-lineage,Freshness / Lineage,REQUIRED_BUT_NEEDS_PORT,790,5de5e0295658ae3e23f4025e9c316b54193d2872,false,true,true,cs-evaluations-data-quality;cs-infrastructure-api-and-domain-contracts;cs-observability-api-and-domain-contracts,EVAL-ADR-003,E4,HIGH,false,true,true,true,false,false,REIMPLEMENT_ON_CURRENT_MAIN,backend evaluations contract/domain/integration tests;frontend evaluations component and accessibility regression,Required,Required after staging,Revert the isolated recovery commit and redeploy the prior release.,HIGH
cs-evaluations-metric-state-ux,Metric State UX,REQUIRED_BUT_NEEDS_PORT,792,c82e449362177a4c9d30ae308558464a2ab934f4,false,true,false,cs-observability-api-and-domain-contracts,EVAL-ADR-003,E4,HIGH,false,true,true,false,false,false,PORT_PATCH_MANUALLY,backend evaluations contract/domain/integration tests;frontend evaluations component and accessibility regression,Required,Required after staging,Revert the isolated recovery commit and redeploy the prior release.,HIGH
cs-evaluations-data-quality-panel,Data Quality Panel,REQUIRED_BUT_NEEDS_PORT,793,ff34b66f0074e7f5efd155ff6301cae1790cc361,false,true,true,cs-evaluations-metric-state-ux;cs-infrastructure-api-and-domain-contracts;cs-observability-api-and-domain-contracts,EVAL-ADR-003,E5,HIGH,false,true,true,true,false,false,REIMPLEMENT_ON_CURRENT_MAIN,backend evaluations contract/domain/integration tests;frontend evaluations component and accessibility regression,Required,Required after staging,Revert the isolated recovery commit and redeploy the prior release.,HIGH
cs-evaluations-information-architecture,Information Architecture,REQUIRED_BUT_NEEDS_PORT,794,14072b3141bbfc5001372334aca8c8df9311df76,false,true,false,cs-evaluations-data-quality-panel,EVAL-ADR-003;EVAL-ADR-010,E5,MEDIUM,false,false,true,false,false,false,PORT_PATCH_MANUALLY,frontend evaluations component and accessibility regression,Recommended,Standard release smoke,Revert the isolated recovery commit and redeploy the prior release.,HIGH
cs-evaluations-executive-kpi-strip,Executive KPI Strip,REQUIRED_BUT_NEEDS_PORT,795,2759f22353106ac3c3804fce0e95f8e1aef32b25,false,true,true,cs-evaluations-information-architecture;cs-infrastructure-api-and-domain-contracts;cs-observability-api-and-domain-contracts,EVAL-ADR-003,E5,HIGH,false,true,true,true,false,false,REIMPLEMENT_ON_CURRENT_MAIN,backend evaluations contract/domain/integration tests;frontend evaluations component and accessibility regression,Required,Required after staging,Revert the isolated recovery commit and redeploy the prior release.,HIGH
cs-evaluations-strength-weakness-cockpit,Strength / Weakness Cockpit,REQUIRED_BUT_NEEDS_PORT,796,cb2ced964d28bbbec11f1564e7081376cc12710d,false,true,false,cs-evaluations-executive-kpi-strip;cs-observability-api-and-domain-contracts,EVAL-ADR-003,E5,HIGH,false,true,true,false,false,false,PORT_PATCH_MANUALLY,backend evaluations contract/domain/integration tests;frontend evaluations component and accessibility regression,Required,Required after staging,Revert the isolated recovery commit and redeploy the prior release.,HIGH
cs-evaluations-risk-cost-failure-visuals,Risk / Cost / Failure Visuals,REQUIRED_BUT_NEEDS_PORT,798,7f6dde4c8c502dc238167d62c508ac9145e91c5c,false,true,false,cs-evaluations-strength-weakness-cockpit;cs-observability-api-and-domain-contracts,EVAL-ADR-003,E5,HIGH,false,true,true,false,false,false,PORT_PATCH_MANUALLY,backend evaluations contract/domain/integration tests;frontend evaluations component and accessibility regression,Required,Required after staging,Revert the isolated recovery commit and redeploy the prior release.,HIGH
cs-evaluations-mobile-readiness,Mobile Readiness,REQUIRED_BUT_NEEDS_PORT,801,304a6ed19da12e30bde4ed8e78f9784e0984eb49,false,true,false,cs-evaluations-risk-cost-failure-visuals,EVAL-ADR-003;EVAL-ADR-010,E5,MEDIUM,false,false,true,false,false,false,PORT_PATCH_MANUALLY,frontend evaluations component and accessibility regression,Recommended,Standard release smoke,Revert the isolated recovery commit and redeploy the prior release.,HIGH
cs-evaluations-accessibility-i18n,Accessibility / i18n,REQUIRED_BUT_NEEDS_PORT,803,ddad560687ad7d42ca7a15bb033e85bc06b25187,false,true,false,cs-evaluations-mobile-readiness,EVAL-ADR-003;EVAL-ADR-010,E5,MEDIUM,false,false,true,false,false,false,PORT_PATCH_MANUALLY,frontend evaluations component and accessibility regression,Recommended,Standard release smoke,Revert the isolated recovery commit and redeploy the prior release.,HIGH
cs-evaluations-recommendation-domain,Recommendation Domain,REQUIRED_BUT_NEEDS_PORT,804,9eae4b1246fcbfe5efa7f04caa2bb429600ccf3b,false,true,true,cs-observability-api-and-domain-contracts,EVAL-ADR-004;EVAL-ADR-005,E6,CRITICAL,true,true,true,false,false,false,REIMPLEMENT_ON_CURRENT_MAIN,Prisma migration and rollback rehearsal;backend evaluations contract/domain/integration tests;frontend evaluations component and accessibility regression,Required,Required after staging,Restore pre-migration backup and prior release; otherwise revert the isolated recovery commit.,HIGH
cs-evaluations-action-center,Action Center,REQUIRED_BUT_NEEDS_PORT,806,364bd93733e30c6a98ea579f1707b8a73be2ecd8,false,true,false,cs-evaluations-recommendation-domain;cs-infrastructure-api-and-domain-contracts;cs-observability-api-and-domain-contracts,EVAL-ADR-004;EVAL-ADR-005;EVAL-ADR-008,E6,HIGH,false,true,true,false,true,false,RECONSTRUCT_MERGE_RESULT,Prisma migration and rollback rehearsal;backend evaluations contract/domain/integration tests;frontend evaluations component and accessibility regression,Required,Required after staging,Restore pre-migration backup and prior release; otherwise revert the isolated recovery commit.,HIGH
cs-evaluations-action-integrations,Action Integrations,REQUIRED_BUT_NEEDS_PORT,807,8829b6a56a0687994edde3ead74d6f95b3122d33,false,true,false,cs-evaluations-action-center;cs-observability-api-and-domain-contracts,EVAL-ADR-005,E6,HIGH,false,true,true,false,false,false,PORT_PATCH_MANUALLY,backend evaluations contract/domain/integration tests;frontend evaluations component and accessibility regression,Required,Required after staging,Revert the isolated recovery commit and redeploy the prior release.,HIGH
cs-evaluations-impact-measurement,Impact Measurement,REQUIRED_BUT_NEEDS_PORT,808,038223bc18dc475a7f0908baa34c6da22986fd68,false,true,true,cs-evaluations-action-integrations;cs-observability-api-and-domain-contracts,EVAL-ADR-005,E6,CRITICAL,true,true,true,false,false,false,REIMPLEMENT_ON_CURRENT_MAIN,Prisma migration and rollback rehearsal;backend evaluations contract/domain/integration tests;frontend evaluations component and accessibility regression,Required,Required after staging,Restore pre-migration backup and prior release; otherwise revert the isolated recovery commit.,HIGH
cs-evaluations-predictive-analytics-architecture,Predictive Analytics Architecture,REQUIRED_BUT_NEEDS_PORT,809,f988c3664bbe18edc49ba8a3e762bb1660a8e043,false,true,true,cs-infrastructure-api-and-domain-contracts;cs-observability-api-and-domain-contracts,EVAL-ADR-006,E7,HIGH,false,false,true,true,false,false,REIMPLEMENT_ON_CURRENT_MAIN,frontend evaluations component and accessibility regression,Required,Required after staging,Revert the isolated recovery commit and redeploy the prior release.,HIGH
cs-evaluations-feature-store,Feature Store,REQUIRED_BUT_NEEDS_PORT,810,9cb26ece2b380e456fc440c3e97a336dd80dd890,false,true,true,cs-evaluations-predictive-analytics-architecture;cs-observability-api-and-domain-contracts,EVAL-ADR-006;EVAL-ADR-009,E7,CRITICAL,true,true,true,false,false,false,REIMPLEMENT_ON_CURRENT_MAIN,Prisma migration and rollback rehearsal;backend evaluations contract/domain/integration tests;frontend evaluations component and accessibility regression,Required,Required after staging,Restore pre-migration backup and prior release; otherwise revert the isolated recovery commit.,HIGH
cs-evaluations-demand-revenue-utilization-forecast,Demand / Revenue / Utilization Forecast,REQUIRED_BUT_NEEDS_PORT,811,96edda271330a5904843034b98e16990f9ed76e7,false,true,true,cs-evaluations-feature-store;cs-infrastructure-api-and-domain-contracts;cs-observability-api-and-domain-contracts,EVAL-ADR-006;EVAL-ADR-009,E7,CRITICAL,true,true,true,true,false,false,REIMPLEMENT_ON_CURRENT_MAIN,Prisma migration and rollback rehearsal;backend evaluations contract/domain/integration tests;frontend evaluations component and accessibility regression,Required,Required after staging,Restore pre-migration backup and prior release; otherwise revert the isolated recovery commit.,HIGH
cs-evaluations-maintenance-failure-forecast,Maintenance / Failure Forecast,REQUIRED_BUT_NEEDS_PORT,812,8488537978d8294e8ac04c436866104b99958886,false,true,true,cs-evaluations-demand-revenue-utilization-forecast;cs-infrastructure-api-and-domain-contracts;cs-observability-api-and-domain-contracts,EVAL-ADR-006;EVAL-ADR-009,E7,CRITICAL,true,true,true,true,false,false,REIMPLEMENT_ON_CURRENT_MAIN,Prisma migration and rollback rehearsal;backend evaluations contract/domain/integration tests;frontend evaluations component and accessibility regression,Required,Required after staging,Restore pre-migration backup and prior release; otherwise revert the isolated recovery commit.,HIGH
cs-evaluations-backtesting-drift,Backtesting / Drift,REQUIRED_BUT_NEEDS_PORT,813,e3c8966a51c00a80eadfc2bc69cdca0e398e9b9d,false,true,true,cs-evaluations-maintenance-failure-forecast;cs-infrastructure-api-and-domain-contracts;cs-observability-api-and-domain-contracts,EVAL-ADR-006;EVAL-ADR-009,E7,CRITICAL,true,true,false,true,false,false,REIMPLEMENT_ON_CURRENT_MAIN,Prisma migration and rollback rehearsal;backend evaluations contract/domain/integration tests,Required,Required after staging,Restore pre-migration backup and prior release; otherwise revert the isolated recovery commit.,HIGH
cs-evaluations-forecast-ux,Forecast UX,REQUIRED_BUT_NEEDS_PORT,814,46b905ad6a441f3c16a3f66c17ff88afc1fa7318,false,true,true,cs-evaluations-backtesting-drift;cs-infrastructure-api-and-domain-contracts;cs-observability-api-and-domain-contracts,EVAL-ADR-006;EVAL-ADR-009;EVAL-ADR-010,E8,HIGH,false,false,true,true,false,false,REIMPLEMENT_ON_CURRENT_MAIN,frontend evaluations component and accessibility regression,Required,Required after staging,Revert the isolated recovery commit and redeploy the prior release.,HIGH
cs-evaluations-gdpr,GDPR,REQUIRED_BUT_NEEDS_PORT,815,c8714b1f9e9760b29a282a294412bf9ebe31cec2,false,true,true,cs-infrastructure-api-and-domain-contracts;cs-observability-api-and-domain-contracts;cs-roles-access-api-and-domain-contracts,EVAL-ADR-007;EVAL-ADR-008,E4,HIGH,false,true,true,true,true,true,REIMPLEMENT_ON_CURRENT_MAIN,"GDPR purpose, retention and audit evidence review;backend evaluations contract/domain/integration tests;cross-tenant negative and RBAC tests;frontend evaluations component and accessibility regression",Required,Required after staging,Revert the isolated recovery commit and redeploy the prior release.,HIGH
cs-evaluations-roles-permissions,Roles / Permissions,REQUIRED_BUT_NEEDS_PORT,816,549c0e237d862eee491943b87077d3ce931ae8a8,false,true,true,cs-evaluations-gdpr;cs-infrastructure-api-and-domain-contracts;cs-observability-api-and-domain-contracts;cs-roles-access-api-and-domain-contracts,EVAL-ADR-007;EVAL-ADR-008,E4,HIGH,false,true,true,true,true,false,REIMPLEMENT_ON_CURRENT_MAIN,backend evaluations contract/domain/integration tests;cross-tenant negative and RBAC tests;frontend evaluations component and accessibility regression,Required,Required after staging,Revert the isolated recovery commit and redeploy the prior release.,HIGH
cs-evaluations-audit-logging,Audit Logging,REQUIRED_BUT_NEEDS_PORT,817,d10d072efce62980e7732d086dd8f6f8f1e2f875,false,true,true,cs-evaluations-roles-permissions;cs-infrastructure-api-and-domain-contracts;cs-observability-api-and-domain-contracts;cs-roles-access-api-and-domain-contracts,EVAL-ADR-005;EVAL-ADR-008,E6,HIGH,false,true,true,true,true,false,REIMPLEMENT_ON_CURRENT_MAIN,backend evaluations contract/domain/integration tests;cross-tenant negative and RBAC tests;frontend evaluations component and accessibility regression,Required,Required after staging,Revert the isolated recovery commit and redeploy the prior release.,HIGH
