anonymizedVehicleId,provider,powertrain,signalName,documentedInDimoSchema,listedInAvailableSignals,latestValueAvailable,latestValue,historicalValuesAvailable,dataSummaryCount,classification,synqDrivePersistsSignal,synqDriveUsesSignal,recommendation
VEHICLE_006,dimo,GASOLINE,angularVelocityYaw,true,false,false,,false,0,DOCUMENTED_NOT_AVAILABLE,false,false,DO_NOT_USE
VEHICLE_006,dimo,GASOLINE,exteriorAirTemperature,true,true,true,29,true,9699,SPORADIC,false,true,LATER
VEHICLE_006,dimo,GASOLINE,obdBarometricPressure,true,true,true,99,false,2230,AVAILABLE_BUT_NO_HISTORICAL_VALUES,false,false,LATER
VEHICLE_006,dimo,GASOLINE,obdDTCList,true,false,false,,false,0,DOCUMENTED_NOT_AVAILABLE,false,false,DO_NOT_USE
VEHICLE_006,dimo,GASOLINE,chassisAxleRow1WheelLeftTirePressure,true,false,false,,false,0,DOCUMENTED_NOT_AVAILABLE,true,true,DO_NOT_USE
VEHICLE_006,dimo,GASOLINE,chassisAxleRow1WheelRightTirePressure,true,false,false,,false,0,DOCUMENTED_NOT_AVAILABLE,true,true,DO_NOT_USE
VEHICLE_006,dimo,GASOLINE,chassisAxleRow2WheelLeftTirePressure,true,false,false,,false,0,DOCUMENTED_NOT_AVAILABLE,true,true,DO_NOT_USE
VEHICLE_006,dimo,GASOLINE,chassisAxleRow2WheelRightTirePressure,true,false,false,,false,0,DOCUMENTED_NOT_AVAILABLE,true,true,DO_NOT_USE
VEHICLE_006,dimo,GASOLINE,chassisTireSystemIsWarningOn,true,false,false,,false,0,DOCUMENTED_NOT_AVAILABLE,false,false,DO_NOT_USE
VEHICLE_006,dimo,GASOLINE,chassisAxleRow1WheelLeftSpeed,true,false,false,,false,0,DOCUMENTED_NOT_AVAILABLE,false,false,DO_NOT_USE
VEHICLE_006,dimo,GASOLINE,chassisAxleRow1WheelRightSpeed,true,false,false,,false,0,DOCUMENTED_NOT_AVAILABLE,false,false,DO_NOT_USE
