domain,file,classOrFunction,responsibility,input,output,writesData,trigger,idempotencyMechanism,consumers,testCoverage,preliminaryRisk
dimo,backend/src/modules/dimo/queries/latest-vehicle-snapshot.query.ts,latest snapshot query,Latest snapshot including tire pressure fields,tokenId,GraphQL query,false,DIMO poll,N/A,Snapshot processor,No,Low
hm,backend/src/modules/high-mobility/high-mobility-signal-usage.service.ts,getTirePressureSignals,Cached HM tire pressures derived status freshness,vehicleId,HmTirePressureSignals,false,Summary detail API,N/A,TireHealthService Controller,partial,Medium
hm,backend/src/modules/high-mobility/high-mobility-signal-usage.service.ts,refreshSignalGroup TIRE_PRESSURE,Force HM fetch for tire group,vehicleId,Cache refresh,true,POST refresh-tire-pressure,Cache upsert,UI,No,Low
hm,backend/src/modules/high-mobility/high-mobility-mqtt-payload.util.ts,normalizeHmTirePressures,MQTT V2 array to FL FR RL RR,raw payload,Normalized pressures,false,Ingestion,Pure,Signal usage,No,Low
hm,backend/src/workers/schedulers/hm-health-polling.scheduler.ts,HmHealthPollingScheduler,Periodic HM health poll including tire diagnostics,schedule,Cache refresh,true,Cron interval,Scheduler tick,HM cache,No,Low
rental-health,backend/src/modules/rental-health/rental-health.service.ts,evaluateTires,Map TireHealthSummary to ModuleHealth,summary,ModuleHealth,false,GET rental health,N/A,Rental UI Bookings gate,Yes rental-health.service.spec.ts,Low
rental-health,backend/src/modules/rental-health/rental-health.service.ts,isRentalBlocked,tires.state critical blocks rental,VehicleHealth,boolean,false,Booking create,N/A,BookingsService,Yes,Low
rental-health,backend/src/modules/rental-health/rental-health.service.ts,mapTireStatusToHealth,Canonical TireStatus to rental HealthState,status string,HealthState,false,Internal,Pure,Blocking reasons,Yes,Low
workers,backend/src/workers/schedulers/tire-recalculation.scheduler.ts,TireRecalculationScheduler,Hourly enqueue stale active setups,DB query,Queue jobs,false,Interval 3600000,jobId hour bucket,BullMQ,No,Low
workers,backend/src/workers/processors/tire-recalculation.processor.ts,TireRecalculationProcessor,Run TireHealthService.recalculate,vehicleId,Recalc result,true,Queue dimo.tire.recalculation,BullMQ retry,Health service,No,Low
workers,backend/src/workers/queues/queue-names.ts,TIRE_RECALCULATION,Queue name dimo.tire.recalculation,N/A,Queue constant,false,N/A,N/A,Scheduler processor,No,Low
workers,backend/src/workers/schedulers/data-retention.scheduler.ts,DataRetentionScheduler,Prune tireHealthSnapshot tireWearDataPoint by age,retention config,Deleted counts,true,Cron 0330,running guard,DB maintenance,No,Low
insights,backend/src/modules/business-insights/detectors/tire-critical.detector.ts,TireCriticalDetector,Fleet insights from tire getSummary,org vehicles,Insight candidates,false,BI evaluation,N/A,Notifications tasks,Yes tire-critical.detector.spec.ts,Low
notifications,backend/src/modules/notifications/adapters/rental-health-notification.projector.ts,rental-health projector,tires_critical notification projection,rental health events,Notification drafts,false,Notification engine,N/A,Notification delivery,Yes rental-health-notification.spec.ts,Low
health-summary,backend/src/modules/vehicle-intelligence/health-summary/health-summary.service.ts,HealthSummaryService,Aggregated health tab includes tire data quality,vehicleId,Health tab DTO,false,Health tab API,N/A,Health UI,partial,Low
health-summary,backend/src/modules/vehicle-intelligence/health-summary/ai-health-care-aggregation.service.ts,AiHealthCareAggregationService,AI care signals include HM tire pressure warning,vehicleId,Care signals,false,AI health care,N/A,Health tab,partial,Low
vehicles,backend/src/modules/vehicles/vehicles.service.ts,VehiclesService,Registration PUT tires delegates to lifecycle upsert,vehicle tire input,Setup,true,Vehicle registration,Upsert,Lifecycle,No,Medium
vehicles,backend/src/modules/vehicles/vehicles.service.ts,fleet list legacy tireHealthPercent,Legacy percent on latest state for fleet cards,vehicleId,number,false,Fleet list,N/A,Fleet cards,No,Low
documents,backend/src/modules/document-extraction/document-extraction-apply.service.ts,DocumentExtractionApplyService,TIRE documents to recordMeasurement,extraction doc,Measurement,true,AI document upload,Per upload,Lifecycle,No,Medium
schema,backend/prisma/schema.prisma,VehicleTireSetup,Active stored tire set specs usage health k-factors,ORM,Table rows,true,Mutations recalc,N/A,All tire services,N/A schema review Phase2,Medium
schema,backend/prisma/schema.prisma,Tire,Per-wheel identity position tread km events,ORM,Table rows,true,Lifecycle identity,Position history,Lifecycle wear,No,Low
schema,backend/prisma/schema.prisma,TireHealthSnapshot,Time-series health per recalculation,ORM,Table rows,true,recalculate,Append only,History analytics,No,Low
schema,backend/prisma/schema.prisma,TireWearDataPoint,Regression training predicted vs actual,ORM,Table rows,true,recalculate,Append only,Wear regression,No,Medium
schema,backend/prisma/schema.prisma,TireEvent,Event log ROTATION MEASUREMENT RECALCULATION etc,ORM,Table rows,true,Mutations recalc,Append only,History UI,No,Low
schema,backend/prisma/schema.prisma,VehicleLatestState,tirePressureFl Fr Rl Rr legacy tireHealthPercent,ORM,Table rows,true,DIMO snapshot,Poll overwrite,Pressure wear fleet,No,High
frontend,frontend/src/rental/components/HealthErrorsView.tsx,Tire Quick Box and Detail Modal,Main tire UX summary modal measure rotate change,API responses,UI,false,User navigation,N/A,Vehicle health tab,No E2E,Medium
frontend,frontend/src/rental/lib/tire-health-detail-ui.ts,tire-health-detail-ui,Measured vs estimated labels tread colors wheel grid,DTO fields,Display helpers,false,Render,N/A,HealthErrorsView,Yes tire-health-detail-ui.test.ts,Low
frontend,frontend/src/rental/components/vehicle-detail/VehicleHealthBox.tsx,VehicleHealthBox,Health quick box tire segment among modules,summary,UI segment,false,Vehicle detail,N/A,Vehicle detail,partial,Low
frontend,frontend/src/rental/components/vehicle-detail/vehicle-health-box.mapper.ts,mapVehicleHealthBox,Tire segment from TireHealthSummary overallStatus,summary,Segment state,false,Mapper,Pure,VehicleHealthBox,Yes vehicle-health-box.mapper.test.ts,Low
frontend,frontend/src/rental/components/FleetConditionDetailView.tsx,TiresDetail,Fleet condition drill-down tires category,summary detail,UI,false,Fleet condition,N/A,Fleet UI,No,Low
frontend,frontend/src/rental/components/VehicleInsightsCard.tsx,VehicleInsightsCard,Tire summary in vehicle insights,summary,Card,false,Insights,N/A,Dashboard,No,Low
frontend,frontend/src/operator/tire-measure/OperatorTireMeasureFlow.tsx,OperatorTireMeasureFlow,Operator tread capture flow,measurement input,API POST,false,Operator UI,N/A,Workshop flow,No,Low
frontend,frontend/src/lib/api.ts,vehicleIntelligence tire methods,API client TireHealthSummary Detail types,HTTP,Typed responses,false,All UI clients,N/A,All tire UI,No,Low
api,backend/src/modules/vehicle-intelligence/vehicle-intelligence.controller.ts,tire REST routes,Full REST surface vehicles tires,HTTP DTOs,JSON,true false per route,HTTP,N/A,Frontend services,partial,Low
api,backend/src/modules/rental-health/rental-health.controller.ts,rental health HTTP,Expose vehicle health gate,org vehicle,VehicleHealth,false,HTTP,N/A,Frontend bookings,Yes,Low
clickhouse,backend/src/modules/clickhouse/migrations,HF telemetry tables,High frequency telemetry mirror no tire tables,telemetry,CH rows,true,Post-trip mirror,TTL,Data analyse driving impact,No,Low
observability,backend/src/shared/queue/queue-producer.util.ts,canEnqueueQueue,Skip queue add if Redis unavailable at boot,N/A,boolean,false,Scheduler producers,N/A,All schedulers,Yes queue-monitoring.spec.ts,Low
