domain,entityOrStep,file,classOrFunction,responsibility,input,output,writesData,scopeAware,perComponentIdentity,historicalTrace,idempotent,transactionBoundary,consumers,testCoverage,preliminaryRisk,phase2FindingId
lifecycle,initializeFromRegistration,backend/src/modules/vehicle-intelligence/brakes/brake-lifecycle.service.ts,BrakeLifecycleService.initializeFromRegistration,Registration path to recordService,Registration spec,Result or null,true,false kind derived not scope,false,false,Delegates recordService,Yes regression,High,P0-BH-02
lifecycle,initializeFromService,backend/src/modules/vehicle-intelligence/brakes/brake-health.service.ts,BrakeHealthService.initializeFromService,Full anchor upsert all 4 components spec fallback,Service mm odometer date,Init result,true,NO ignores kind scope,false,overwrites prior state,false,upsert then recalc,Lifecycle only,indirect,High,P0-BH-10
lifecycle,spec fallback anchor,backend/src/modules/vehicle-intelligence/brakes/brake-health.service.ts,initializeFromService L515-519,Fill missing mm from VehicleBrakeReferenceSpec,Spec thickness width,Anchor mm,true,NO applies to all null anchors,false,overwrites on re-init,false,Inside upsert,Init path,none,High,P0-BH-11
lifecycle,k-factor reset,backend/src/modules/vehicle-intelligence/brakes/brake-health.service.ts,initializeFromService update L615-619,Reset ALL k-factors to 1.0 on every init,Any init,Upsert,true,NO,false,loses calibration history,false,upsert update,Init,none,High,P0-BH-12
lifecycle,calibrationCount reset,backend/src/modules/vehicle-intelligence/brakes/brake-health.service.ts,initializeFromService update L619,Reset calibrationCount to 0 on every init,Any init,0,true,NO,false,loses calibration history,false,upsert update,Init,none,High,P0-BH-12
lifecycle,distance reset,backend/src/modules/vehicle-intelligence/brakes/brake-health.service.ts,initializeFromService update L614,Reset distanceSinceAnchorKm to 0,Any init,0,true,NO,false,false,upsert update,Init,none,Medium,P0-BH-10
lifecycle,inspection_only,backend/src/modules/vehicle-intelligence/brakes/brake-lifecycle.service.ts,recordService allowsSpecFallback,false,No spec fallback init without measured mm,Inspection event,History only unless measured,false,N/A,false,append event,Same as recordService,partial,Medium,P1-BH-17
lifecycle,brake_fluid_service,backend/src/modules/vehicle-intelligence/brakes/brake-lifecycle.service.ts,recordService allowsSpecFallback,false,No wear init without measured mm,Fluid event,History only unless measured,false,N/A,false,append event,Same,partial,Medium,P1-BH-18
lifecycle,pads_service partial,backend/src/modules/vehicle-intelligence/brakes/brake-lifecycle.service.ts,recordService+initializeFromService,CONFIRMED BUG: front_pads only still re-anchors rear via spec,scope front_pads measured front only,All 4 anchors if spec exists,true stored false applied,false,false,Same,none,High,P0-BH-10
lifecycle,recordMeasuredEvidence,backend/src/modules/vehicle-intelligence/brakes/brake-lifecycle.service.ts,BrakeLifecycleService.recordMeasuredEvidence,Write FRONT/REAR evidence rows,Measured mm,Evidence,true,NO axle rows only,false,append,false,After service,Canonical,partial,Low,
evidence,record,backend/src/modules/vehicle-intelligence/brakes/brake-evidence.service.ts,BrakeEvidenceService.record,Single evidence with mm trust rules,Write input,Row,true,N/A,axle or UNKNOWN wheel optional,false,append,false,Prisma create,Lifecycle AI,Yes,Medium,
evidence,MM_TRUSTED_SOURCES,backend/src/modules/vehicle-intelligence/brakes/brake-evidence.service.ts,MM_TRUSTED_SOURCES,Defines which sources may carry mm,Source enum,Set membership,false,N/A,N/A,N/A,N/A,N/A,toCreateData,Yes,Medium,P1-BH-19
evidence,TELEMATICS strip,backend/src/modules/vehicle-intelligence/brakes/brake-evidence.service.ts,toCreateData,Strip mm from TELEMATICS_ESTIMATION,Input,Row without mm,true,N/A,N/A,N/A,N/A,N/A,record,Yes,Low,
evidence,getLatestSafetySignal,backend/src/modules/vehicle-intelligence/brakes/brake-evidence.service.ts,getLatestSafetySignal,Single latest safety row vehicle-wide,vehicleId,One row,false,N/A,N/A,N/A,N/A,N/A,UNUSED in production,none,Medium,P1-BH-20
evidence,listRecent canonical,backend/src/modules/vehicle-intelligence/brakes/brake-health.service.ts,buildCanonicalReadModel,filters evidence post-anchor only,vehicleId 40 rows,Canonical,false,post-anchor filter,false,older evidence ignored not deleted,false,Read path,All UI,Yes,Medium,P1-BH-21
evidence,AI upload apply,backend/src/modules/document-extraction/document-extraction-apply.service.ts,applyBrake,Post-user-confirm AI document to lifecycle+evidence,Confirmed extraction,Service+evidence,true,scope passed but init ignores,false,append,false,recordService then recordMany,document flow,Yes,Medium,P1-BH-22
evidence,DTC producer,backend/src,N/A,NOT IMPLEMENTED VehicleDtcEvent does not write BrakeEvidence,N/A,N/A,false,N/A,N/A,N/A,N/A,N/A,None,none,High,P0-BH-06
evidence,sensor producer,backend/src,N/A,NOT IMPLEMENTED BRAKE_WEAR_SENSOR never written,N/A,N/A,false,N/A,N/A,N/A,N/A,N/A,None,none,High,P0-BH-06
evidence,dedupe,backend/src/modules/vehicle-intelligence/brakes/brake-evidence.service.ts,N/A,No dedupe key or unique constraint on evidence,N/A,Duplicates possible,true,N/A,N/A,N/A,false retries,false,createMany,None,none,Medium,P1-BH-23
evidence,resolved stale,backend/prisma/schema.prisma,BrakeEvidence,No resolvedAt expiresAt isActive fields,N/A,N/A,false,N/A,N/A,permanent append,N/A,N/A,Canonical,none,High,P1-BH-24
registration,applyNewBrakeDefaults,backend/src/modules/vehicle-intelligence/brakes/register-brake-baseline.ts,applyNewBrakeDefaults,NEW gets 10mm pad defaults in spec path,Registration spec,Spec with defaults,false,N/A,N/A,N/A,N/A,N/A,Spec create init,Yes,Medium,P1-BH-25
registration,measured snapshot,backend/src/modules/vehicle-intelligence/brakes/register-brake-baseline.ts,registrationBrakeMeasuredSnapshot,Only user-submitted mm not NEW defaults,raw brakes,Measured object,false,N/A,N/A,N/A,N/A,N/A,initializeFromRegistration,Yes,Low,
versioning,modelVersion,backend/src/modules/vehicle-intelligence/brakes/brake-health.config.ts,MODEL_VERSION,String 1.0.0 on init only,Constant,Stored on BHC,false,N/A,N/A,not updated on recalc,N/A,N/A,BrakeHealthCurrent,config test,Medium,P1-BH-26
versioning,snapshot history,backend/prisma/schema.prisma,N/A,No BrakeHealthSnapshot table unlike tires,N/A,N/A,false,N/A,N/A,impossible replay,N/A,N/A,N/A,none,High,P0-BH-13
versioning,input fingerprint,backend/prisma/schema.prisma,BrakeHealthCurrent,No inputFingerprint configHash tripIds evidenceIds,N/A,N/A,false,N/A,N/A,N/A,N/A,N/A,N/A,none,High,P0-BH-13
org,API scoping,backend/src/modules/vehicle-intelligence/vehicle-intelligence.controller.ts,VehicleOwnershipGuard,Org access via vehicle route guard,vehicleId,Authorized,false,N/A,N/A,N/A,N/A,N/A,All endpoints,indirect,Low,
org,DB queries,backend/src/modules/vehicle-intelligence/brakes/brake-health.service.ts,various,Queries filter vehicleId only not organizationId,vehicleId,Rows,false,N/A,N/A,N/A,N/A,vehicle PK 1:1,Internal,none,Low,P1-BH-27
