aspect,question,answer,evidence,preliminaryRisk,findingId
membership_role_enum,What is MembershipRole?,Coarse enum ORG_ADMIN SUB_ADMIN WORKER DRIVER — carried on membership and into JWT; ORG_ADMIN bypasses module permissions.,Prisma MembershipRole; PermissionsGuard,P1 — parallel to template,UR-P3-RM-13
role_label,What is roleLabel?,Display string copied from OrganizationRole.name on assign; independently editable via updateOrgUser; not used for authz.,assignRoleToUser; UpdateOrgUserDto,P2,UR-P3-RM-14
station_scope_model,Station scope / stationIds / fieldAgentAccess,"Stored on membership (and role defaults). StationAccessService (feature-flagged stationsScopeV2Enabled): ORG_ADMIN bypass; else stationIds JSON; else stationScope ALL bypass; else SUB_ADMIN/WORKER treat scope string as single station id; DRIVER/others bypass. Separate from module permissions.",station-access.service.ts,P1 — H10 parallel truth,UR-P3-RM-15
permission_registry,Canonical module keys,PERMISSION_MODULE_KEYS in backend permission.constants.ts mirrored by FE PERMISSION_MODULES (same keys including payment submodules).,permission.constants.ts; users-roles/constants.ts,P2,UR-P3-RM-16
manage_implies,Does manage imply write and read?,YES in evaluateModulePermission and FE hasPermission — centralized cascade.,permission.util.ts; RentalContext.tsx,OK,UR-P3-PS-01
write_implies_read,Does write imply read?,YES — same cascade in BE util and FE.,permission.util.ts,OK,UR-P3-PS-02
cascade_central,Is cascade central or per-guard?,Central in permission.util.evaluateModulePermission; PermissionsGuard and assertMembershipPermission share it; FE duplicates logic.,permission.util.ts,P1 — duplicated FE copy can drift,UR-P3-PS-03
unknown_keys,Unknown permission keys?,Dropped by normalizeMembershipPermissions — never grant. evaluate returns false for unknown modules.,permission.util.ts,OK default-deny,UR-P3-PS-04
new_modules_default,New modules default-denied?,YES if not in membership JSON and not ORG_ADMIN/MASTER_ADMIN.,evaluateModulePermission,OK,UR-P3-PS-05
missing_object_allow,Can missing permission object allow?,NO — null/missing flags → deny (except ORG_ADMIN/MASTER_ADMIN bypass).,PermissionsGuard,OK,UR-P3-PS-06
wildcards,Wildcards?,NO wildcard support.,permission.util.ts,OK,UR-P3-PS-07
org_admin_bypass,Is ORG_ADMIN full bypass?,YES for PermissionsGuard and assertMembershipPermission within org. StationAccess also bypasses. FE hasPermission true for all modules.,permissions.guard.ts; RentalContext,P1 — bypass ignores membership.permissions JSON entirely,UR-P3-PS-08
master_admin_routes,Master admin routes separated?,YES — /admin/* typically RolesGuard @Roles MASTER_ADMIN; OrgScopingGuard bypass for MASTER_ADMIN.,users.controller admin routes; OrgScopingGuard,P2 intended,UR-P3-PS-09
fe_be_name_drift,Can FE/BE use different permission names?,Possible if constants diverge — currently mirrored by comment+manual lists; no shared package. Unknown FE keys fail closed on BE after normalize.,permission.constants vs FE constants,P1,UR-P3-PS-10
customer_role,Customer as IAM role?,Customer is a business entity not MembershipRole — no customer portal role in this IAM model.,MembershipRole enum,P2,UR-P3-PS-11
roles_guard_noop,RolesGuard without @Roles?,Returns true (auth-only). Many org controllers use OrgScopingGuard+RolesGuard without @Roles or PermissionsGuard → any ACTIVE member can call writes.,roles.guard.ts; bookings.controller; customers.controller,P0,UR-P3-PS-12
