ruleId,dimension,fieldOrKpi,file,function,inputFields,timestampUsed,defaultWhenNull,fallback,priority,clamp,consumers,businessMeaning,preliminaryRisk
R-TF-04,telemetry_freshness,freshnessLabel,fleet-connectivity.util.ts,deriveFreshnessLabel,lastSeenMs,lastSeenAt,Unknown,Live if <5m,1,none,Fleet UI drawer,Human age string,P2
R-TF-05,telemetry_freshness,telemetryFreshness live,vehicle-state-interpreter.ts,classifyTelemetryFreshness,lastSeenAt,lastSeenAt,<15m,no_signal if null,1,none,fleet-map; vehicle telemetry API,Canonical 5-state freshness,P0 — backend canonical
R-TF-06,telemetry_freshness,telemetryFreshness standby,vehicle-state-interpreter.ts,classifyTelemetryFreshness,lastSeenAt,lastSeenAt,15m–24h,no_signal,2,none,fleet-map; rental UI,Normal standby,P0
R-TF-07,telemetry_freshness,telemetryFreshness signal_delayed,vehicle-state-interpreter.ts,classifyTelemetryFreshness,lastSeenAt,lastSeenAt,24h–48h,no_signal,3,none,rental fleet display,Soft offline window,P0 — missing on Fleet Connectivity API
R-TF-08,telemetry_freshness,telemetryFreshness offline,vehicle-state-interpreter.ts,classifyTelemetryFreshness,lastSeenAt,lastSeenAt,>=48h,no_signal,4,none,isVehicleOffline; fleet board,Real connectivity problem,P0
R-TF-09,telemetry_freshness,onlineStatus ONLINE/STANDBY/OFFLINE,vehicle-state-interpreter.ts,interpretVehicleState,signalAgeMs,lastSeenAt,OFFLINE if >=24h (not 48h),3-state compat,2,collapses delayed into OFFLINE,legacy consumers,3-state hint only,P1 — OFFLINE at 24h while telemetryFreshness may be signal_delayed
R-TF-10,telemetry_freshness,isVehicleOffline,frontend rental/data/vehicles.ts,isVehicleOffline,resolveTelemetryFreshness,lastSignal,offline OR no_signal only,48h rule,1,none,fleet; booking picker,Bookability gate uses 48h,P0 — fleet tab uses 24h offline
R-TF-11,telemetry_freshness,dataFreshnessStatus fresh/stale/offline,data-analyse.utils.ts,classifyDataFreshness,lastSeenMs; ONLINE_MAX; STANDBY_MAX,lastSeenAt,insufficient_data,labels stale not standby,1,24h=offline,Data Analyse,Internal monitor uses 2-tier + stale label,P1 — vocabulary drift
R-TF-12,telemetry_freshness,providerFetchedAt vs lastSeenAt,VehicleLatestState,schema,providerFetchedAt=ingest; lastSeenAt=provider signal,both,ingest lag not exposed in fleet API,none,2,none,debug only,Ingest lag invisible to operators,P2
R-DEV-01,physical_device,obdIsPluggedIn,fleet-connectivity.util.ts,extractConnectivitySnapshot,rawPayloadJson.obdIsPluggedIn,signal.timestamp if present,null,none,1,none,Fleet OBD column; reconcile anchor,Snapshot plug state,P0 — does not close webhook episode
R-DEV-02,physical_device,ObdRowChip,fleet-connectivity.badges.tsx,ObdRowChip,obdIsPluggedIn boolean,null→No data,explicit false only,1,none,Fleet table,Snapshot-only display,P1 — separate from webhook chip
R-DEV-03,physical_device,shouldShowObdUnpluggedBadge,obd-plug-status.ts,shouldShowObdUnpluggedBadge,obdIsPluggedIn===false,snapshot,false only,true/null hide,1,none,VehicleConnectionBadge header,Header uses snapshot not webhook,P1 — contradicts Fleet webhook chip
R-DEV-04,physical_device,openUnpluggedEpisode,device-connection-read-model.ts,buildDeviceConnectionSummary,last UNPLUG vs last PLUG event times,event observedAt,false if plug newer,ignores anchor for closure,1,7d event window in query,Fleet webhook chip; KPI,Open tamper episode,P0 — INCIDENT_VEHICLE_001 root
R-DEV-05,physical_device,currentDeviceConnectionStatus,device-connection-read-model.ts,buildDeviceConnectionSummary,openUnpluggedEpisode + last plug/unplug,event observedAt,unknown,webhook-only,1,none,trip flags; fleet deviceConnection,plugged/unplugged/unknown,P0
R-DEV-06,physical_device,reconcileDeviceConnectionEvents,device-connection-read-model.ts,reconcileDeviceConnectionEvents,events + connectivityAnchor,observedAt,drop phantom PLUG if still unplugged,anchor does not synthesize PLUG,1,120s impulse,Fleet read path,Anti-flutter only one direction,P0
R-DEV-07,physical_device,lteR1Capable,device-connection-read-model.ts,isLteR1Hardware,hardwareType==LTE_R1,N/A,false,none,1,none,gates deviceConnection projection,Hardware gate for webhook UI,P2
R-WH-01,webhook_intake,webhookConfigured active,device-connection-read-model.ts,buildDeviceConnectionSummary,events.length>0,last event observedAt,unknown if no events,active if any event in 7d window,1,none,Fleet deviceConnection; vehicle detail,Infers configured from events,P0 — no event ≠ not configured proof
R-WH-02,webhook_intake,webhookConfigured not_configured,device-connection-read-model.ts,buildDeviceConnectionSummary,dimoLinked && no events,N/A,not_configured,false positive if configured but no unplug yet,2,none,Fleet UI,Misleading when plug-only ops config,P0
R-WH-03,webhook_intake,lastWebhookReceivedAt,device-connection-read-model.ts,buildDeviceConnectionSummary,sorted[0].observedAt,latest event time,null if no events,any event type,1,none,Fleet API,Last device connection event not last unplug specifically,P2
R-WH-04,webhook_intake,persist gate,device-connection-webhook.service.ts,shouldPersistObdPlugStateChange,lastEventType + incoming,observedAt,baseline plug ignored,30s dedup bucket,1,none,webhook intake,State-change only,P1
R-WH-05,webhook_intake,plug impulse filter,device-connection-webhook.service.ts,shouldIgnorePlugImpulseAfterUnplug,unplug+plug within 120s + anchor,observedAt,ignore plug if anchor unplugged,intake + read,1,none,webhook intake,Blocks false plug events,P1 — no symmetric recovery on snapshot
R-COV-01,coverage,signals.*,fleet-connectivity.util.ts,deriveFleetSignals,VLS columns + rawPayloadJson,none per signal,unknown if no telemetry,available/missing/unknown,1,none,Fleet signal matrix,Per-signal presence not freshness,P1
R-COV-02,coverage,signalCoveragePercent,fleet-connectivity.util.ts,computeSignalCoveragePercent,signals map,none,0 if no known,available/known count,1,0–100,Fleet KPI,Equal weight all 8 signals,P1 — no capability filter
R-COV-03,coverage,readinessScore,fleet-connectivity.util.ts,mapFleetConnectivityVehicle,signalCoveragePercent,none,equals coverage,alias,1,0–100,Fleet readiness chip,Named readiness but is coverage,P1
R-COV-04,coverage,readinessLevel,fleet-connectivity.util.ts,deriveReadinessLevel,score; hasProviderLink; hasTelemetry; signals,none,no_data if no link,80/50 thresholds,1,none,Fleet filter,good/watch/warning/no_data,P2
R-OPS-01,operational_attention,deviceConnection.severity,device-connection-read-model.ts,buildDeviceConnectionSummary,openUnpluggedEpisode + active booking,nowMs,critical if booking+open,warning if open else,1,none,Fleet chip; vehicle card,Tamper severity not telemetry,P1
R-OPS-02,operational_attention,deviceUnpluggedOpenEpisodes,fleet-connectivity.util.ts,buildFleetConnectivitySummary,count openUnpluggedEpisode,none,0,webhook-derived,1,none,Fleet KPI strip,Stuck episodes KPI,P0
R-OPS-03,operational_attention,hasAlert (health),brake-health etc.,module-specific,health openAlerts,none,N/A,not connectivity,health only,N/A,health modules,Unrelated to device unplug,P3
R-OPS-04,operational_attention,actionRequired,fleet-health-control-center.ts,KPI banding,health severity,none,N/A,health not connectivity,health only,N/A,Fleet Health,Separate operational axis,P3
R-KPI-01,fleet_kpi,summary.online,fleet-connectivity.util.ts,buildFleetConnectivitySummary,connectionStatus===online,request time,0,15m rule,1,none,Fleet KPI,Count online vehicles,P1
R-KPI-02,fleet_kpi,summary.offline,fleet-connectivity.util.ts,buildFleetConnectivitySummary,connectionStatus===offline,request time,0,24h rule not 48h,1,none,Fleet KPI,Offline count diverges from rental,P1
R-KPI-03,fleet_kpi,summary.obdPluggedIn,fleet-connectivity.util.ts,buildFleetConnectivitySummary,obdIsPluggedIn===true,snapshot,obdNoData for null,snapshot only,1,none,Fleet KPI,Snapshot plug count,P1
R-KPI-04,fleet_kpi,deprecated online boolean,fleet-connectivity.util.ts,mapFleetConnectivityVehicle,connectionStatus===online,request,false,compat field,3,none,legacy clients,Deprecated mirror,P3
