event,exists,producer,auditCodeOrAction,payloadActor,payloadSubject,payloadOrganization,timestamp,sourceIp,userAgent,reason,beforeAfter,transactionalWithMutation,retry,retention,accessControlOnRead,testCoverage,gap,severity,findingId
user_suspended,YES,updateOrgUser status,USER_DEACTIVATED,actor,target,org,createdAt,omitted,omitted,no,no,void after,NO,same,same,limited,Misnamed vs global User.status,P1,UR-P6-AC-15
user_reactivated,YES,create/accept paths,USER_REACTIVATED,varies,target,org,createdAt,omitted,omitted,no,no,void after,NO,same,same,limited,OK code exists,P2,UR-P6-AC-16
user_removed,YES,removeOrgUser,USER_REMOVED_FROM_ORG WARN,actor optional,target,org,createdAt,omitted,omitted,no,before/after membership,void after,NO,same,same,limited,No session-revoke companion event,P0,UR-P6-AC-17
role_created_updated_deleted,YES,organization-role.service,ROLE_CREATED/UPDATED/DELETED,actor,roleId,org,createdAt,omitted,omitted,no,before/after on update,void after,NO,same,same,role specs,ROLE_DISABLED distinct code missing (delete/is_active),P1,UR-P6-AC-18
role_assigned,YES,assignRole,ROLE_ASSIGNED,actor,user/role,org,createdAt,omitted,omitted,no,before/after,void after,NO,same,same,yes,OK,P2,UR-P6-AC-19
permission_changed,YES,updateOrgUser,USER_PERMISSIONS_CHANGED WARN,actor,user,org,createdAt,omitted,omitted,no,before/after,void after,NO,same,same,limited,OK,P2,UR-P6-AC-20
scope_changed,YES,updateOrgUser,USER_STATION_SCOPE_CHANGED,actor,user,org,createdAt,omitted,omitted,no,before/after,void after,NO,same,same,limited,OK,P2,UR-P6-AC-21
organization_switched,NO,no switch API/audit,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Missing event (Phase2 multi-org),P1,UR-P6-AC-22
access_review,NO,no model/producer,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Missing,P1,UR-P6-AC-23
break_glass,NO,ENABLE_SEED_ADMIN runtime no audit code,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Missing privileged break-glass trail,P0,UR-P6-AC-24
export_audit_or_dsgvo,NO,no IAM export/DSGVO producer; activity-log GET only,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Export itself not audited,P1,UR-P6-AC-25
dsgvo_auskunft_loeschung,NO,no subject-request workflow for IAM identity,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Missing technical capability events,P1,UR-P6-AC-26
